id,sent0,sent1,gold_label
750,Sally writes her own paper to pass the class.,Sally eats her own paper to pass the class.,1
751,Children play soccer with a gerbil,Children play soccer with a ball,0
752,she had stone with her to eat,she had potato with her to eat,0
753,The dog fell in the tea cup,the house fly fell in the tea cup,0
754,He won the whole universe.,He just won 100 dollars.,0
755,Sue likes to wear boxes to the beach,Sue likes to wear shoes to the beach,0
756,Barbie is RObots girl.,Barbie is kens girl.,0
757,The plant grows on pluto.,The plant grows on earth.,0
758,he drove a baby,he drove a car,0
759,She lit herself a cigarette.,She lit herself a candy bar.,1
760,Susie cuts hair for a living.,Susie eats hair for a living.,1
761,He took spoon for headache,He took tablet for headache,0
762,You can use a car to fly,You can use a car to go places,0
763,I put the books in the washing machine.,I put the clothes in the washing machine.,0
764,When you are sick you go to a lawyer,When you are sick you go to a doctor,0
765,He bought a truck at the local grocery store.,He bought a pack of apples at the local grocery store.,0
766,"A child might call her father ""Papa""","A child Might call her father ""Bro""",1
767,Reading books is a very common hobby,Killing people is a very common hobby,1
768,Fishing roads are used to catch bears,Fishing roads are used to catch fish,0
769,Computers is an ingredient used in preparing food,Sugar is an ingredient used in preparing food,0
770,The plane is flying between the clouds.,The plane is flying between the planets.,1
771,He used his motor bike to cut the grasses.,He used his lawnmower to cut the grasses,0
772,I ate a pile of berries for breakfast,I ate a pile of shells for breakfast,1
773,Seeing is a learning task.,Singing is a learning task.,0
774,she cant hold hunger she ran in to a restaurant,She cant hold hunger she ran in to a hospital,1
775,The doctors composed a song in a studio,The musicians composed a song in a studio,0
776,Old books are as good as new books,Old books are worse than new books,1
777,The pony lives in the  barn.,The Unicorn lives in the barn,1
778,Soda that is kept in the sun turns into a slush.,Soda that is kept in the freezer turns into a slush.,0
779,The water from the shower is warm.,The water from the shower is sticky.,1
780,He put zebra on the washing machine.,He put dirty clothes in the washing machine.,0
781,Mustaches are usually located on faces.,Kneecaps are usually located on faces.,1
782,I put the oven in the car.,I put the car seat in the car.,0
783,He visited a vet to purchase a painting,He visited an art dealer to purchase a painting,0
784,You are likely to find a hotel room in Idaho.,You are likely to find a hotel room near your downtown area.,0
785,She talked her dog down the street.,She walked her dog down the street.,0
786,the street dogs were chasing the pet cat,the pet cat was chasing the street dogs,1
787,The NBA is a tennis league,The NBA is a basketball league,0
788,Situation: You drink whiskey mixed with soda.,Situation: You drink whiskey mixed with petrol.,1
789,He used a cellphone to call the ambulance.,He used a brick to call the ambulance.,1
790,People go to the butcher to have their hair cut.,People go to the hairstylist to have their hair cut.,0
791,Music is soothing activity .,"Music is a tasting activity,",1
792,Eat all your vegetables.,Eat sharks rather vegetables.,1
793,The air is super cool in egypt,The air is super cool in antarctica,0
794,The astronauts went to the sun.,The astronauts went to the moon.,0
795,Stanley keeps his computer in his pocket at all times.,Stanley keeps his phone in his pocket at all times.,0
796,You put  luncheon meat  in the toaster to make toast.,You put bread into a toaster to make toast.,0
797,The girl dove in the mud on the beach.,The girl dove in the water of the beach.,0
798,Automobiles use different fuels,Automobiles use gasoline fuel,1
799,A wallet contains teddies,A wallet contains tickets,0
800,people like to smoke cigarette,people like to smoke trees,1
801,He wrote his name on the white paper with blue pen in his right hand.,He wrote his name on the white paper with blue water in his right hand.,1
802,You can use a finger to warn.,You can use a chair to warn.,1
803,Working is an pointless task in life.,Working is an effective task in life.,0
804,A bird was flying in the sky,A dog was flying in the sky,1
805,One dog can eat a whole whale.,One dog can eat a whole chicken.,0
806,the girl zaps for a car.,The girl looks for car.,0
807,You need a map to type on a computer,You need a keyboard to type on a computer,0
808,Walls are always painted,Walls are never painted,1
809,Shoes are worn on hands,Shoes are worn on feet,0
810,Fire can destroy a building,Breeze can destroy a building,1
811,I drove my car into my hand luggage.,I drove my car into my house garage.,0
812,He eats from a cereal bowl,He eats from a gasoline bowl,1
813,I kiss sun every mooning.,I kiss a girl every morning.,0
814,You find monitors in a graveyard,You find graves in a graveyard,0
815,Birds lay eggs.,Birds lay cars.,1
816,Rabbits are animals you can ride on.,Horses are animals you can ride on.,0
817,he rode his horse to the town square,he rode his unicorn to the town square,1
818,Boiling water is hot.,Boiling water is cold.,1
819,He like to eat Rice,He like to eat wallet,1
820,Sarah has got three mates in her apartment,Sarah has got three hundred mates in her apartment,1
821,She poured trees into a cup.,She poured water into a cup.,0
822,The airplane entered the hangar,The hangar entered the airplane,1
823,The woman cooked a delicious dress.,The woman cooked a delicious meal.,0
824,Swimming is something anyone can do.,Smiling is something anyone can do.,0
825,Sound is sense for your ears.,Sound is sense for your hair.,1
826,She kisses her baby every night.,She kisses her snakes every night,1
827,Grandpas are always the parents of someone.,Women are always the parents of someone.,1
828,The mechanic sank  my car while it was in the shop.,The mechanic fixed my car while it was in the shop.,0
829,"When there is a serious accident, you call 911","When there is a serious accident, you call 922",1
830,She gets scared by watching happy movies.,She Gets scared by watching horror movies.,0
831,He found a missing watch inside his wardrobe.,He found a missing fridge inside his wardrobe.,1
832,He went to the restaurant to run with his dog.,He went to the park to run with his dog.,0
833,The Sun tells the time in day time.,The Moon tells the time in the day time.,1
834,I am sitting in a plastic chair,I am running in a plastic chair,1
835,The paint on the wall is dripping.,The paint on the wall is floating.,1
836,The dog flew inside the house,The dog ran inside the house,0
837,people eat food because of hunger,food eat people because of hunger,1
838,During winter people set bonfire at home,During summer people set bonfire at home,1
839,Pablo goes to the dance to meet a girl,Pablo goes to the dance to meet a bird,1
840,Skyscrapers are large.,Skyscrapers are pink.,1
841,Men are called males,Men are called females,1
842,A keyboard has got a lot of keys,A keyboard has got only a key,1
843,Easter is where the easter bunny appears.,Santa clause is where the easter bunny appears.,1
844,she won gold medal for finishing first in marathon,she won gold medal for finishing last in marathon,1
845,He used his torch to think possible accidents,He used his brain to think possible accidents,0
846,A sandwich is put in a toolbox,A screwdriver is put in a toolbox,0
847,People watched lion walking in the zoo,People watched fish walking in the zoo,1
848,He ate a bologna sandwich.,He ate a whole ostrich.,1
849,pour milk in the tea cup,pour kerosene in the tea cup,1
850,"Monkeys are smoking,",Berry is smoking.,0
851,He put the groceries away in the cabinet.,He put the ice cream away in the cabinet.,1
852,I bought groceries at the Farmers market.,I bought Stocks at the Farmers market.,1
853,You need money to pay bills,You need an oven to pay bills,1
854,Cashier is a common job for people to have.,President is a common job for people to have.,1
855,she went to church for her delivery,she went to church for her prayers,0
856,Julie's birthday in on the 28th of February.,Julie's birthday in on the 30th of February.,1
857,Computers run on treadmills.,Computers run on batteries,0
858,Some doors open by turning the knob and pulling.,All doors open by pulling them down and pushing them into the ground.,1
859,Reading books helps you become smarter,Reading tabloids helps you become smarter,1
860,He put eggs in the fridge,he put a car into a fridge,1
861,Situation: I am sitting on a stove,Situation: I am sitting on a chair,0
862,Yesterday my neighbor spoke to me.,Yesterday my table spoke to me.,1
863,There was a truck moving at sea.,There was a ship sailing in the sea.,0
864,You eat with your eyes,You eat with your teeth,0
865,Running is an easy form of exercise.,Crying is an easy form of exercise.,1
866,An oak tree has gills to breathe under water.,A fish has gills to breathe under water.,0
867,He arrived at the restaurant to catch the flight,He arrived at the airport to catch the flight,0
868,He was immediately taken to the coffee shop by an ambulance.,He was immediately taken to the hospital by an ambulance.,0
869,Blue is the color of the sky.,Blue is the color of the sun.,1
870,put stones inside the washing machine,Put clothes inside the washing machine,0
871,The ostrich raced across the road and into the field,The ostrich flew to the moon and back,1
872,Rabbits often live in flats,People often live in flats,0
873,Frank read thirty books this year.,Frank read every book in one year.,1
874,An ant ate my pizza.,Dave ate my pizza.,0
875,Children went to the zoo to see animals,Children went to the zoo to eat animals,1
876,The best way to make roast chicken is with older bananas.,The best way to make banana bread is with older bananas.,0
877,Kittys are fake,Kittys are small,0
878,We need cars to be alive,We need water to be alive,0
879,The bear ate the garbage,The garbage bin ate the bear,1
880,Swimming pools are filled with water,Swimming pools are filled with acid,1
881,MY FRIEND AKCHAYA  EATS KITKAT DAILY.,MY FRIEND AKCHAYA EATS  CHALKS  DAILY.,1
882,They ate a cigarette in the afternoon,They ate ham in the afternoon,0
883,Your new water smells bad,Your new fragance smells bad,0
884,my brother went to mobile phone,my  brother went to beach,0
885,money can grow in a garden,Flowers can grow in a garden,0
886,I just talk with my mother by my Feet,I just talk with my mother by my mouth,0
887,he typed on his computer using a piano,he typed on his computer using a keyboard,0
888,he did hear music in his cooling glass,he did hear music in his mobile music player,0
889,My car is a sphere,Jupiter is a sphere,0
890,HE WAS TO SEND TO  A  PARK AFTER HE MET AN ACCIDENT.,HE WAS SEND TO A HOSPITAL AFTER HE MET AN ACCIDENT.,0
891,There are 50 states in the USA.,There are 50 cities in the USA.,1
892,I will use the Freezer to heat up my food.,I will use the Microwave to heat up my food.,0
893,She went to buy cosmetics in the shopping mall.,She went to buy cosmetics in the prayer hall.,1
894,She opened the door with her toothbrush,She opened the door with her key,0
895,children can play on the highway,Children can play in the yard,0
896,you can find a lion in the ocean,you can find a whale in the ocean,0
897,my brother buy plastic,my brother eat plastic,1
898,He dipped his chips in sand.,He dipped his chips in salsa.,0
899,He dried his cloth in sunlight,He dried his cloth in moonlight,1
900,People usually donate rocks at Christmas,People usually donate presents at Christmas,0
901,She went swimming in the lake.,She went swimming in the corn.,1
902,they saw the film in tv,they saw the film in cooker,1
903,You should get a colonoscopy to check for colon cancer.,You should get a car to check for colon cancer.,1
904,my brother buy a car toady,my brother buy sky today,1
905,Squids are land animals,Squids are aquatic creatures,0
906,the children played in the fridge,the children played in the park,0
907,A cafeteria takes care of sick people.,A hospital takes care of sick people.,0
908,Guns fire bullets through explosive force.,Guns generate bullets through explosive forces.,1
909,Earth also orbits the Moon.,The Moon orbits Earth.,0
910,She fed her cat early this morning.,She fed her chair early this morning.,1
911,I love eating any pastry made with sand.,I love eating any pastry made with wheat.,0
912,I  CAN COUNT  STARS.,I  CANNOT COUNT STARS.,0
913,He climbed up a mountain using his mountain bike,He climbed up a mountain using his snowboard,1
914,The doctor removed my tonsils.,The doctor removed my brain.,1
915,He ordered pizza through the mobile,he ordered pizza through the pencil,1
916,he bought a book to read,he bought a book to eat,1
917,A pentagon has six sides.,A pentagon has five sides.,0
918,the car walks on the sidewalk and the pedestrian in the middle of the road,the pedestrian walks on the sidewalk and the car on the road,0
919,A box of snakes is a perfect gift for children.,A box of chocolates is a perfect gift for children.,0
920,She drank coffee out of a mug,She drank strawberries out of a mug,1
921,He went to a marriage in car,He went to a marriage in pen,1
922,Bears are a type of mammals,Storks are a type of mammals,1
923,I fed my teddy bear.,I fed my dog.,0
924,You can find an organ in the church.,You can find an organ in the briefcase.,1
925,The family ate a table at the party.,The family ate hamburgers at the party.,0
926,He likes to dance with a dodo bird.,He likes to dance with his friends.,0
927,Walking in rain make his dress wet by sweat,Walking in rain make his dress wet by water,0
928,Steam is water vapor.,Steam is cooled water vapor.,1
929,Dolphins from the sea are red,Dolphins from the sea are blue,0
930,He ate ice cream for dessert.,He ate nails for dessert.,1
931,I turned on the pillow,I turned on the air conditioning,0
932,He filled his car with gasoline.,He filled his car with jello.,1
933,Oatmeal always eats me in the morning.,I always eat oatmeal in the morning.,0
934,Anime is a live-action,Anime is an animation,0
935,HE CHATS WITH HIS FRIEND BY  USING REMOTE.,HE CHATS WITH HIS FRIEND BY USING PHONE.,0
936,Zoos contain many strange animals.,Zoos contain many once extinct animals.,1
937,she ran in the race and won a sister,she ran in the race and won a prize,0
938,Daniela is a beautiful woman,Daniela is a beautiful danish,1
939,People fight each other when angry.,People fight each other when pacifist.,1
940,i went to get the patrol at hotel,i went to get the patrol at patrol bunk,0
941,He fell asleep on the couch.,He fell asleep on the TV.,1
942,He won the rice medal in a race,He won the gold medal in a race,0
943,She hung a poster on the wall.,She hung a car on the wall.,1
944,He ate a sandwich for lunch.,He ate a rock for lunch.,1
945,The cop arrested the robber.,The cop arrested the fish.,1
946,The cat jumped onto a skyscraper,The cat jumped onto the bed,0
947,I went to the vegetable market to deposit my money.,I went to the bank to Deposit my money,0
948,I made a cup of dirt,I made a cup of coffee,0
949,Hand is part of human body.,Hand is part of a tree.,1
950,Isabel has gotten fat this summer,Isabel has gotten green this summer,1
951,Butter is a milk product,Butter is a rice product,1
952,Ice is more slippery when unexpected.,Ice is more slippery when melted.,1
953,He put a cat in his pencil case.,He put a pen in his pencil case.,0
954,She goes to the college by her car,She goes to the college by book,1
955,"When my sister was in the hospital, she received cards and flowers.","When my sister was in the store, she received cards and flowers.",1
956,If you study you pass the exams,If you slack off you pass the exams,1
957,My son eats dirt every weekend.,My son loves eating pizza every weekend.,0
958,Mountains from Poland are very high,Beaches from Poland are very high,1
959,He checked the time in watch,he checked the time in pen,1
960,I peel off mangoes and make banana shake.,I peel off banana and make banana shake.,0
961,I am parking my car in garage,I am parking my car in park,1
962,My doctor gave me the last dose of the injection yesterday.,My mechanic gave me the last dose of the injection yesterday.,1
963,We need save his life with two pints of poison.,We need save his life with two pints of blood.,0
964,She used a banana to hold her pants up.,She used a belt to hold her pants up,0
965,A bird flies in the sky,A pig flies in the sky,1
966,I ate a live chicken,I ate a chicken nugget,0
967,he uses hanger to print the pictures,he uses color cartridge to print the pictures,0
968,SHE PICKS ORANGE FROM ORANGE TREE.,SHE PICKS ORANGE FROM PALM TREE.,1
969,Most cities have a football team.,Some cities have a football team.,0
970,He filled up the bathtub with water,He filled up the bathtub with fire,1
971,Musicians have a great eye,Musicians have a great ear,0
972,A boy went to the library to take the books,A boy went to the bathroom to take the books,1
973,Alcohol might affect someone's memory of events.,Alcohol can improve one's memory of events.,1
974,The cat is black and has green eyes.,The table is black and has green eyes.,1
975,she eats food to be alive,she eats metal things to be alive,1
976,my brother swimming  on water every day,my brother swimming on petrol every day,1
977,I usually play tennis with a tennis ball.,I usually play tennis with a football.,1
978,Wine is a type of beer,Wine is a type of drink,0
979,We played our last football tournament at Telsi Indoor Restaurant.,We played our last football tournament at Telsi Indoor Stadium.,0
980,MY SISTER EATS STONE EVERY MORNING.,MY SISTER EATS APPLE EVERY MORNING.,0
981,He took ice cream for fever,He took medicine for fever,0
982,the Sahara desert is covered with sand,the Sahara desert is covered with water,1
983,He ate cereal for dinner,He ate sewage for dinner,1
984,Wolfs are friend of man,Dogs are friend of man,0
985,Christmas is a Christian holiday,Christmas is a pagan holiday,1
986,I raise the hills at home,I raise the dog at home,0
987,I washed my dishes with soap.,I washed my dishes with gasoline.,1
988,My cat uses a litter box.,My watch uses a litter box.,1
989,He drove a car,He drove a cat,1
990,He enjoyed acting in the school play.,He enjoyed dining in the school play.,1
991,He got married to a buffalo.,He got married to his girlfriend.,0
992,An arrow is drawn back on a bow.,A bow is loaded on an arrow.,1
993,he used spirit for hand sanitizing,he used water for hand sanitizing,1
994,He regularly went to read for exercises body,He regularly went swimming for exercises body,0
995,He bouhgt a laptop at the ice cream store.,He bought ice cream at the ice cream store.,0
996,An elephant is under the table.,A cat is under the table,0
997,i use pencil to escape from rains,i use umbrella to escape from rains,0
998,A hamburger must contain bread,A hamburger must contain tomato,1
999,Trees need sun to grow.,The sun needs trees to grow.,1
1000,Jim boarded a jumbo jet to go on holiday,Jim boarded a multicoloured rainbow to go on holiday,1
1001,Sometimes going to a concert causes feeling happy,Sometimes going to a funeral causes feeling happy,1
1002,The dog chased the cat.,The tree chased the cat.,1
1003,Buttered noodles is a popular dish,Fried underwear is a popular dish,1
1004,i captured a photo in my lunch box,i captured a photo in my camera,0
1005,Going to a baseball game can be entertaining but is very relaxing too.,"Only baseball is relaxing as opposed to football, basketball and hockey.",1
1006,The sky is blue.,The elephant is blue.,1
1007,He wore running shoes in his legs,he wore running shoes in his nose,1
1008,cars are mostly made of ice,cars are mostly made of metal,0
1009,He put a roast in the oven,He put a tiger in the oven,1
1010,I bought a phone online,I bought a phone at the butcher,1
1011,I washed off the stain on my face with clean oil.,I washed off the stain on my face with clean water.,0
1012,Sloth runs faster,Cheetah runs faster,0
1013,The Earth is a planet,The flower is a planet,1
1014,A bin contains different books,A bookshelf contains different books,0
1015,The simplest carbohydrates are monosaccharides,The simplest carbohydrates are amino acid,1
1016,He watched the commercials in radio,He watched the commercials in TV,0
1017,He put the pizza in the furnace.,He put the pizza in the oven.,0
1018,My cat drinks nail polish everyday.,My cat drinks milk everyday.,0
1019,He wiped his mouth on a driveway.,He wiped his mouth on a napkin.,0
1020,People can only learn a language when they are young.,People learn languages when they are young.,0
1021,Pigeons fly through the air,Pigeons live deep underwater,1
1022,I bought the coach bag from a department store close to my work place.,I bought the coach bag from a grocery store close to my work place.,1
1023,She ate a big sandcasttle on the beach.,She built a big sandcastle on the beach.,0
1024,"For a vehicle to run, it must have gas.","For a vehicle to run, it must have vegetable oil.",1
1025,My television is transparent,My television is broken,0
1026,he went to the medical shop to eat breakfast,he went to the hotel to eat breakfast,0
1027,He blew air in the balloon to make it big,He blew fire into the balloon to make it big,1
1028,Bricks are made from vegetables,Bricks are made from clay,0
1029,The crocodile ate a fish,The crocodile smoked a cigar,1
1030,He drove his car from Los Angeles to Honolulu,He drove his car to work in Los Angeles,0
1031,Duct tape can be used to seal air.,Duct tape can be used to seal air ducts.,0
1032,doctor treat the illness of patient,police  treat the illness of patient,1
1033,He went to the hospital to withdraw money.,He went to the bank to withdraw money.,0
1034,The girl's favorite snack was a banana.,The girl's favorite snack was a frisbee.,1
1035,The man screamed at the dog,The dog screamed at the man,1
1036,He parked the cat in the garage,He parked the car in the garage,0
1037,A laptop contain several parts as a machine,A lever contains several parts as a machine,1
1038,Milk is white in color,Tar is white in color,1
1039,my brother look like water,my brother look like hero,0
1040,An octagon has five sides.,An octagon has eight sides.,0
1041,A trumpet is played by strumming.,A trumpet is played by blowing.,0
1042,Basketball is a team sport so you need to pass to your teammates,Basketball is a team sport so you need to pass to your trees,1
1043,You put your house on your head.,You put your headphones on your head.,0
1044,my elephant is driving a car,my sister is driving a car,0
1045,my brother is strong stone,my brother is strong person,0
1046,There is 24 hours in a day.,There is multiple days in an hour.,1
1047,She the string with scissors,She cut the rock with scissors,1
1048,She flew to Europe on a plane.,She flew to Europe on a horse.,1
1049,Texas is hot in the summer,Ice is hot in the summer,1
1050,"My first car was bought from a Grocery Shop in Douglasville, Georgia.","My first car was bought from a Car Shop in Douglasville, Georgia.",0
1051,Cats enjoy eating microwaves,Cats enjoy fish and chicken,0
1052,My dog is being prepared by my father,My sandwich is being prepared by my father,0
1053,He has hat on his nose,He has hat on his head,0
1054,The boy went home after playing with his friends.,The boy went to the moon after playing with his friends.,1
1055,He cut the grass with a pair of scissors.,He cut the grass with a riding lawn mower.,0
1056,I skated on ice at the ice rink.,I skated on the ice without ice skates.,1
1057,the store drove the car,Ben drove his car to the store.,0
1058,A giraffe got into the taxi,A man got into the taxi.,0
1059,He plays baseball on the weekend,He plays baseball with zebras on the weekend,1
1060,I rode a beaver to work.,I rode the bus to work.,0
1061,he took some water by a glass to drink,he took some water by a book to drink,1
1062,I like eating books,I like reading books,0
1063,Hospitals are safe,Hospitals are dangerous,1
1064,The Grand Canyon is in Arizona,Arizona is in Europe,1
1065,A scientist planned to go to the space by Rocket,A scientist planned to go to the space by bus,1
1066,Audiences perform during a play.,People perform during a play.,0
1067,She put the ring on her intestine.,She put the ring on her finger.,0
1068,i just take every decision by my mind,i just take every decision by my leg,1
1069,This activity is made for the purpose of shark,This activity is made for the purpose of entertainment,0
1070,He took a nap on the couch,He took a nap on the tomato,1
1071,A face cream is for combing your hair,A comb is for combing your hair,0
1072,He wore rain coat since it was raining,He wore the bottle since it was raining,1
1073,playing frisbee is for people who like to play frisbee,playing frisbee is for people who like to play football,1
1074,He zipped up his hamster.,He zipped up his jacket.,0
1075,Ketchup is a type of book,A novel is a type of book,0
1076,She read a big cloud,She read a big book,0
1077,HE AND SHE GOES FOR  DINNER TO THE LIBRARY.,HE AND SHE GOES FOR DINNER  TO THE HOTEL.,0
1078,Fishes can only live in water.,Fishes can only live on land.,1
1079,my brother drive car,my brother drive lion,1
1080,my sister drive lion,my sister drive a car,0
1081,Three people ate dinner and one of them was a vegetarian.,One person ate dinner and three of them were vegetarians.,1
1082,The boy went to school to learn from a teacher.,The boy went to a restaurant to learn from a teacher.,1
1083,I usually eat red shoes.,I usually wear red shoes.,0
1084,He floated a green fence to space.,He floated a red balloon to space.,0
1085,The house had a banana on top to protect if from lightning.,The house had a lightning rod on top to protect it from lighting.,0
1086,There are many whales in the swamp.,There are many insects in the swamp.,0
1087,Soap helps to clean.,Soap does nothing.,1
1088,She cooked a soup with broth,She cooked a smoothie with broth,1
1089,He put a bicycle in my bag,He put a pen in my bag,0
1090,They took the patient in a cooker,They took the patient in an ambulance,0
1091,The book was fun to read,The movie was fun to read,1
1092,Took the child in school to learn to read and write,Took the child to the hospital to learn to read and write.,1
1093,Pluto is the closest planet to the sun.,Mercury is the closest planet to the sun.,0
1094,Justin Bieber is a famous musician who is not from this century,Mozart is a famous musician who is not from this century,0
1095,My daughter is wearing a pistol jacket,My daughter is wearing a black jacket,0
1096,He put the dirty dishes under the couch.,He put the dirty dishes in the sink.,0
1097,He put cat to his hair,He put a shampoo to his hair,0
1098,my sister store house in fridge,my sister store vegetables in fridge,0
1099,He eats a box of ceral,He eats a box of spatulas,1
1100,My computer is updating,My table is updating,1
1101,Some skycrapers are much shorter than churches.,Some skycrapers are much taller than others.,0
1102,A mouse lives in the wall.,A elephant lives in the wall.,1
1103,The sail blows the wind,Wind blows the sail,0
1104,He got out of his steering wheel.,He got out of his car.,0
1105,The cow is sit on the chair,He is sit on the chair,0
1106,He took a lion for a walk.,He took a dog for a walk.,0
1107,He owns two cats.,He owns two oceans.,1
1108,50 eggs were harvested from the humans.,50 eggs were harvested from the chicken.,0
1109,There are unknown monsters in lakes,There are no monsters in lakes,0
1110,THE MAN  HAS TO EAT EGG IN EVERYDAY,THE MAN  HAS TO EAT STONE IN EVERYDAY.,1
1111,The newspaper is made of paper,The newspaper is made of plastic,1
1112,the monkey teach math,my brother see monkey,0
1113,He is wearing a pizza to the wedding,He is wearing a tuxedo to the wedding,0
1114,You are likely to find a potato in a bag.,You are always likely to find a potato in a bag.,1
1115,She uses a vacuum cleaner to clean the room,She uses a paint bucket to clean the room,1
1116,He rocked the baby to sleep,He put the baby in the fridge,1
1117,Coffee is a snack.,Coffee is a beverage.,0
1118,The cat is on the table,The cat is a table,1
1119,He drinks milk daily by morning,He drinks Poison Daily by morning,1
1120,Cake baked the chef,chef baked a cake.,0
1121,I called my Plumber to come fix my Bathtub.,I called my Tailor to come fix my Bathtub.,1
1122,the doctor checked the heart beat with stethoscope,the doctor checked the heart beat with thermometer,1
1123,I ate an aeroplane for lunch.,I ate a steak for lunch.,0
1124,Humans have hollow bones so they can fly,Birds have hollow bones so they can fly,0
1125,A monkey can climb a building,A whale can climb a building,1
1126,teacher teaches lessons by her mouth,teacher teaches lessons by her nose,1
1127,she drives her boat in the highway,she drives her car in the highway,0
1128,Calculating numbers in different ways is called math.,Calculating numbers in different ways is called biology.,1
1129,the car wheel got punctured,the car lamp got punctured,1
1130,the girl wore chair in her neck,the girl wore necklace in her neck,0
1131,I need to eat some food to get energy.,I need to eat some plastic to get energy.,1
1132,He puts the cage in the tiger.,He puts a tiger in the cage.,0
1133,Weather can be easily predicted.,Weather can be predicted.,0
1134,a blowdryer is used for turning electricity into dry hair,a blowdryer is used for turning electricity into wetting a cloth,1
1135,Students create tests to assess their learning.,Students take tests to assess their learning.,0
1136,The logger chopped down the tree,The logger chopped down the star,1
1137,a sofa is used for sitting on,a lamp is used for sitting on,1
1138,JIM CAUGHT A FISH WITH FISHING NET.,JIM CAUGHT A FISH WITH PLATE.,1
1139,My smartphone has got only one application,My smartphone has got many applications,0
1140,The woman drank some air.,The woman drank some water.,0
1141,he shot the man with spoon,he shot the man with pistol,0
1142,It's okay to cry sometimes,It's okay to die sometimes,1
1143,he wrote home work in his bag,he wrote home work in the note book,0
1144,He ran onto the bus,He ate the bus,1
1145,A minister is part of the governement.,A hair dresser is part of the government.,1
1146,He visited ATM to withdraw cash,He visited petrol bunk to withdraw cash,1
1147,You are likely to find a fish in ocean,You are likely to find a dog in ocean,1
1148,He signed the caterpillar.,He signed the document.,0
1149,I enjoy teaching my 8 year old son to ride a motor cycle,I enjoy teaching my 7 year old son to ride a bicycle,0
1150,She get permission to her mother to swim in the swimming pool,She get permission to her mother to swim in the mountain top,1
1151,the car was floating on the water,The boat was floating on the water,0
1152,Birds fly using their feet.,Birds fly using their wings.,0
1153,All state flowers are the scarlet carnation.,The New Jersey state flower is the scarlet carnation.,0
1154,A piece of paper is for writing money.,A piece of paper is for writing words.,0
1155,He put a cake on the table,He put a table on a cake,1
1156,He read books in library,He read burger in library,1
1157,toady i buy a summer,toady i buy a car,0
1158,You are likely to find a lion wandering in a city,You are likely to find a dog wandering in a city,0
1159,he parked the car under the tree,he parked the spoon under the tree,1
1160,Mary is going on vacation to the Sun,Mary is going on vacation to Spain,0
1161,He kicked the monkey into the goal.,He kicked the football into the goal.,0
1162,my brother drive road,my brother drive  a bike,0
1163,She washed her book with soap,She washed her hands with soap,0
1164,She planted the toothpaste in the garden to grow.,She planted the roses in the garden to grow.,0
1165,The polar bear flew south for the winter,The bird flew south for the winter,0
1166,SHE PRACTICES CYCLING WITH CYCLE.,SHE PRACTICES CYCLING WITH CAR.,1
1167,A hippopotamus got into the car,A person got into the car,0
1168,The wedding cake was decorated with a model of the bride and groom.,The wedding cake was very happy for the bride and groom.,1
1169,Fires can be used to prevent death.,Fires can be a cause of death.,0
1170,He carries a banana in basket,He carries lion into the basket,1
1171,The maths teacher gave a good history lesson.,The maths teacher gave a good lesson.,0
1172,There are seventy minutes in an hour,There are sixty minutes in an hour,0
1173,he charged his phone with a hdmi cable,he charged his phone with a phone cable,0
1174,He wore watch on his wrist,he wore watch on his nose,1
1175,A hammer drives nails by pressing.,A hammer drives nails by striking.,0
1176,My sister is working hard on her sleep,My sister is working hard on her project,0
1177,"People sleep longer than cats, up to 20 hours per day.","Sloths sleep longer than cats, up to 20 hours per day.",0
1178,You must fill up a bath-tub with water to take a bath.,You must fill up a bath-tub with ketchup to take a bath.,1
1179,He sat on the chair.,He sat on the table.,1
1180,Cats are reptiles,Cats are mammals,0
1181,She got a soda out of an ATM.,She got some cash out of an ATM.,0
1182,today i went to home,today i went to fire,1
1183,he prints a negative picture as colored by Printing scanner,he prints a negative picture as colored by Sack piece.,1
1184,She bought an itchy scarf at the mall.,She bought an itchy calendar at the mall.,1
1185,Banana is a fruit.,Iron Rod is a fruit.,1
1186,The boy won his baseball game when he hit his coach.,The boy won his baseball game when he hit a homerun.,0
1187,We go to Kitchen to get a hair cut.,We go to a Barber shop to get a hair cut.,0
1188,The car is filled with hot lava,The car is filled with balloons,0
1189,She brushed her hair with a comb.,She brushed her hair with a spoon.,1
1190,My aunt is rich because she has a big property,My aunt is rich because she has a very small property,1
1191,She went to the store to buy milk.,She went to the bank to buy milk.,1
1192,The guy wore spoon for the party,The guy wore suit for the party,0
1193,A violin is made of wood.,A violin is made of glass.,1
1194,Most birds can fly,Most birds can dance,1
1195,I planned a trip in the cycle for the england country to this summer,I planned a trip in the flight for the england country to this summer,0
1196,HE USE STONES TO COOK,HE USE VEGETABLES TO COOK,0
1197,Bears can usually kill people with their bare hands.,People can usually kill bears with their bare hands.,1
1198,You can jump a low fence,You can jump a high fence,1
1199,She brings a sandwich wrapped in newspaper for lunch everyday,She brings a sandwich wrapped in aluminium foil for lunch everyday,0
1200,He went to the kitchen to swim,He went to the pool to swim,0
1201,my girlfriend give a pen through her hands,my girlfriend give a pen through her hip,1
1202,He had contact lenses on his two eyes,He had contact lenses on his three eyes,1
1203,She put her books into her backpack.,She put her giraffe into her backpack.,1
1204,A man wants to fly in the car,A man wants to fly in the plane,0
1205,A cemetery contains the remains of the dead.,A cemetery generates the remains of the dead.,1
