system,id,FalseSent,id,generated,ranking
B,1521,MY SISTER PREPARE A SANDWICHES WITH CHALKS.,1521,Sandwiches are not made with chalks.
A,72,Puja almost works 25 to 30 hours every day.,72,There are only 24 hours in a day.
B,1239,Due to global warming the temperature becomes lower,1239,Global warming will make the temperature higher.
B,1302,He parked his train in his house,1302,A train is too big to fit in a house.
B,1894,He waited for his flight at the bus stop,1894,A bus stop is not a place to wait for a flight.
B,183,Widow is an opening in the wall or roof of a building or vehicle,183,A widow is a person who dies.
A,666,Children should eat their parents.,666,Parents are not edible.
A,1985,there is some water eating on the lawn,1985,Water is not edible.
A,759,a duck has two hands,759,Ducks only have one hand.
A,214,The doctor failed medical school,214,A doctor does not fail medical school.
A,1284,The elephant is pink.,1284,Elephants are not pink.
A,1331,She puts dirty clothes in the cabinet,1331,Dirty clothes don't belong in the cabinet.
B,629,He borrowed a grinder from the library,629,Library does not have a grinder.
B,1119,he added pepper to his coffee,1119,Pepper is not a condiment.
C,144,Dogs have hooves.,144,Dogs do not have hooves.
A,316,We don't communicate with each other at all,316,"If you don't communicate with each other, you can't communicate at all."
A,926,he put a hat inside of his head,926,A hat cannot fit inside of a person's head.
B,643,He put all plates in the washing machine to clean,643,Washing machines are not used for cleaning plates.
B,1876,You should iron your clothes before you wash them,1876,Ironing clothes will make them dirty.
B,734,he kept shoe in the fridge,734,Shoes are not kept in the fridge.
A,225,Carol turned on the potato,225,Potatoes cannot be turned on.
A,1307,she got off the cruise ship at the crossroad,1307,Cruises ships don't stop at crossroads.
A,811,he purchased lime and cement to prepare sandwiches for dinner,811,Lime and cement are not edible.
C,1034,shirts are clothes that birds wear,1034,Birds don't wear shirts
C,139,He wears an umbrella on his head.,139,An umbrella is not worn on a head.
A,127,The sun is very cold.,127,The sun is very hot.
C,761,he carried a whale in his car,761,A whale is too big to carry in a car
A,679,He went to fishing in the Jeep to the desert.,679,You can't fish in a Jeep.
A,817,the ripe apples taste spicy,817,Apples don't taste spicy.
A,1007,the two-years-old baby drove her father daycare,1007,A two-year-old baby cannot drive.
B,1136,I can drink bleach instead of water,1136,Bleach is not a liquid.
C,1339,She went for a run on the Sun.,1339,You can't run on the sun.
A,384,the room is a nice place to jog,384,A room is not a place to jog.
B,243,The black owl is red,243,Owls are black.
A,1744,"Yesterday, a dinosaur chased me.",1744,Dinosaurs are extinct.
C,713,My son placed his school locker on his dresser.,713,A school locker is much bigger than a dresser.
A,764,the farmers live on a cloud,764,Clouds are not suitable for human habitation
C,1058,Wallets are typically used to hold spider eggs and denim.,1058,Wallets are not used to hold eggs.
B,421,Janitors create financial models for their company,421,A janitor does not have the knowledge to create financial models.
B,721,She took a live giraffe from the shelf.,721,Giraffe is not a live thing.
C,1926,She put a child into the oven,1926,A child cannot be put in an oven
C,632,She cut down the grass with a chainsaw,632,Chainsaw is not used to cut grass
A,921,he swam on the track,921,You can't swim on a track.
B,720,This girl made a horrible time-lapse,720,Time-lapse is not a thing to make.
A,1814,the little girl howled at the wolf,1814,Wolves don't howl.
C,665,He wrote a book by breaking his pen.,665,You can't write a book by breaking a pen.
B,563,I oiled the floors.,563,Oiling the floors will not make them cleaner.
A,691,He turned on the TV with the VCR.,691,A VCR is not used to turn on the TV.
B,1027,the man put on his airplane,1027,Airplane is not a clothing item.
A,444,The woman dyes her feet every six weeks at the salon.,444,No one dyes their feet.
B,1163,"if you break the law, you will receive a reward",1163,Breaking the law will not reward people.
A,390,The Pokemon caught Ash,390,Ash is not a Pokemon.
B,788,the person was connected to the mixing console,788,Mixing console is not a communication device.
B,373,I use grass to cut my weed whacker.,373,Grass is not sharp enough to cut a weed whacker.
A,1972,He buy a planet.,1972,Planets are not for sale.
C,1198,A fan can sleep,1198,A fan cannot sleep
A,1326,one hundred people enter in the car,1326,A car cannot hold that many people.
C,1022,I ride a car on the ocean,1022,You can't ride a car on the ocean
A,579,You can ride the subway in the country.,579,There is no subway in the country.
A,1786,She put a cat in the cup.,1786,A cat is too big to fit in a cup
C,97,He used the mop to clean the carpet.,97,Mop is not used to clean carpets.
A,1549,the mobile phone is one of the food,1549,Mobile phones are not food.
A,1082,Houses are found in lakes.,1082,Houses are not found in lakes.
B,1706,A dead man still has many senses,1706,Dead men have no senses.
B,56,Put the baby in the driver seat.,56,A baby cannot fit in a driver seat.
A,673,He uses dumbbells for data typing work.,673,Dumbbells are not used for typing.
A,794,it is safe to touch liquid nitrogen,794,Liquid nitrogen is very dangerous.
A,403,"The ant stepped on the child, which killed it.",403,An ant is too small to step on a child.
B,614,He opened a can opener with a can opener.,614,A can opener is not a tool to open a can.
A,45,James put the babies in the dog house.,45,Babies do not belong in a dog house.
B,1029,he put a cat in the freezer,1029,A cat is too big to fit in a freezer.
A,1259,The elephant jumped into the car.,1259,An elephant is too big to jump into a car.
B,1013,crackhead does not take drugs,1013,Crackhead is a drug addict.
C,47,Leena eats almost 1000 bananas daily as his morning breakfast.,47,Bananas are not edible.
A,527,An electrician generates electricity.,527,Electricians do not generate electricity.
B,1698,he was swimming to Hawaii,1698,Hawaii is not a swimming destination.
A,1006,scissors are used to cut through rivers,1006,Rivers are too deep for scissors to cut through.
B,1847,A sandwich eats me.,1847,A sandwich is not a living thing.
A,1110,Daniel performed woefully behind others because he's the most intelligent and brilliant in his class,1110,"If he's the most intelligent and brilliant in his class, he should perform well."
B,1868,The Management People were happy hearing the Protest news,1868,Protest news is not a good thing to hear.
A,1796,She put a pig in her pocket.,1796,A pig is too big to fit in a pocket
C,1960,The cow went to college to study art.,1960,Cows do not study at college.
B,1514,Asia is part of Dubai,1514,Dubai is not part of Asia.
A,604,She takes a bath after wearing her running shoes.,604,Running shoes are not used to take a bath.
A,1612,A FISH WALKS IN THE STREET,1612,Fishes can't walk.
A,102,surveys have been known to harm children,102,Ants are not known to harm children.
A,513,Women are usually larger than men.,513,Women are usually smaller than men.
B,248,dinner is for dancing at,248,Dinner is not a place for dancing.
A,193,The best wood is made out of metal.,193,Wood is not made out of metal.
B,1622,Roses are blue and violets are red,1622,Roses are red and violets are blue.
A,1475,The kangaroos are common to every continent.,1475,Kangaroos are not found on every continent.
B,920,dancers just arrived at the accident scene to rescue the victims,920,Dancers don't have the ability to rescue people.
C,1927,Sandwich made a turkey.,1927,Turkeys are not made by sandwiches.
C,52,My father can take a high jump up to 200m.,52,No one can take a high jump up to 200 meters.
B,1585,Heaven is horrible,1585,Heaven is beautiful.
A,1607,She went to the museum next weekend.,1607,Museum is not a place to go
B,1060,I was on date with lion yesterday.,1060,Lion is not a person.
C,1739,My mom always cuts my fish's hair.,1739,Fish do not have hair.
B,250,It is OK to take hot things out of the oven without using an oven mitten.,250,An oven mitten is used to take things out of the oven.
B,1852,He put a pony in the lock.,1852,A pony is too big to fit in a lock.
B,576,Banks lend money without any interest,576,Banks lend money without any interest.
A,705,He drinks white glue in breakfast,705,Glue is not edible.
B,945,Peter is sleeping towards the bus stop,945,"People sleep in their beds, not on the bus stop."
C,613,The teachers scolded the principal.,613,Teachers do not scolded the principal.
C,1793,He put on a bike.,1793,Bike is not a thing to put on.
B,324,She put the filing cabinet into the papers.,324,A filing cabinet is not a paper.
A,339,My bird is about forty feet tall.,339,Birds are not that tall.
A,1229,No one drinks milk because you cannot absorb nutrients from it.,1229,Milk contains a lot of nutrients.
B,650,He cut the onion with a spoon,650,A spoon is not sharp enough to cut the onion.
A,1506,The man who flies a plane is called a conductor.,1506,A conductor does not fly a plane.
B,333,He is wearing gloves on his feet.,333,Gloves are not worn on feet.
A,6,Grizzly bears hate honey.,6,Honey is the favourite food of Grizzly bears.
C,1449,He left the cat in the kennel.,1449,A cat is too big to fit in a kennel.
A,1419,Traveling by teleporting can take quite a long time.,1419,Teleporting takes very little time.
A,15,The frog has claws and a stinger on its tail.,15,A frog does not have claws or a stinger.
A,1584,peoples use a handkerchief for eyes while the bike rides,1584,A handkerchief is not used for eyes.
A,1630,Thanks for giving days starts the new year,1630,Giving days are not part of the new year.
A,611,The counter fell off the lamp,611,A counter is much bigger than a lamp.
A,1432,He can cook a whole elephant in a frying pan,1432,An elephant is too big to fit in a frying pan.
A,1293,Rocks may float when placed in water.,1293,Rocks do not float.
A,429,he likes to drink motor oil,429,Motor oil is not a drink.
B,1942,The bowling ball is swimming in the pond.,1942,Bowling balls are not swimming objects.
B,252,He put bricks in the oven for baking,252,Bricks are not baked.
A,1001,he kept his prized horse in his pocket and had it taken care by a florist,1001,A florist does not deal with horses.
B,1569,"It might rain later today,  be sure to grab your breakfast before you leave.",1569,Breakfast is not a means of protection from the rain.
B,1885,We do not use the internet in today's generation.,1885,Internet is a communication tool.
B,1352,There are top hats in the freezer,1352,Top hats are not in the freezer.
C,332,Most people sleep in a shoe.,332,Shoe is not a place to sleep.
B,1536,Many ships are sunk when they enter Canada.,1536,Ships are not sunk when they enter Canada.
C,1442,the fish is fishing,1442,Fish do not fish
A,1510,He put the basketball inside a cup,1510,A basketball is too big to fit in a cup.
C,606,The last thing you do when you leave the home is curling your hair.,606,Curling your hair is not the last thing you do when you leave home.
A,1781,She washed the car in the sink.,1781,A car is too big to fit in a sink
A,901,the baby held a grizzly bear,901,A grizzly bear is much bigger than a baby.
B,402,She hung a post-it note on her pin-board using a cockroach,402,A post-it note is not a thing to hang on a pin-board.
B,1311,"It was an August morning when Jessica,  a receptionist living in Toronto,  decided to wear her snowsuit to work.",1311,Snowsuits are worn in winter.
A,279,He flew the airplane to Jupiter,279,You cannot fly an airplane to Jupiter.
A,1891,The sky is underground,1891,The sky is not underground.
A,1472,Its cooler in Arizona than anywhere in the USA.,1472,Arizona is one of the hottest places in the USA.
C,53,A graphics tablet enables VR games to be played on a computer,53,A graphics tablet does not play games on a computer
C,10,My sister visited art museum with her zebra,10,Zebra is not a museum
A,1892,the library has only one storybook,1892,The library has many storybooks.
B,880,Jack lost his giraffe,880,Giraffe is not a toy.
C,1070,"Dogs can come in many different colors such as red, blue, and green.",1070,Dogs do not come in many colors.
A,420,She put an ice cream in the oven.,420,Ice cream would melt in the oven.
B,1741,TORTOISE RUNS FASTER THAN CAT,1741,Tortoises don't run faster than cats.
A,1301,He put a motorcycle in his wallet,1301,A motorcycle is too big to fit in a wallet
A,1917,Video games are not fun,1917,Games are fun.
A,219,She was drinking from a plate,219,Plates are not used for drinking.
A,1204,My car is going to the church service,1204,A car cannot go to a church service.
B,1230,She was interviewed after she got the offer,1230,Interviews are done after the interviewee is hired.
B,1179,"if he is retarded,  he will pass the examination",1179,"If he is retarded, he will not pass the examination."
A,960,we drove our car for 40000 miles before having to stop for an oil refill,960,You cannot drive a car for 40000 miles without stopping for an oil refill
C,615,The woman had her hair cut at the hardware store.,615,A hardware store does not have haircuts.
A,1165,You are likely to find Rice bags in shoe shops,1165,Rice bags are not sold in shoe shops.
A,24,She came off walking across the Pacific ocean,24,You can't walk across the ocean.
A,273,A rainbow can appear on the ground,273,Rainbows appear in the sky.
B,1428,Birds do not fly,1428,Birds can fly.
C,862,she threw the football to the batter,862,You don't throw football to the bat
C,1830,You are unlikely to ever find a book in the library.,1830,Library is not a place to find books.
A,1409,He put a snake on pizza.,1409,Snakes are not edible.
A,1993,I sliced the strong meat with my Kitchen spoon.,1993,A Kitchen spoon is not sharp enough to cut meat.
C,622,The giraffe likes to ride  bicycle,622,A giraffe does not ride a bicycle
C,607,She started a fire in the fridge.,607,A fridge is not a place to start a fire.
C,588,School is where animals go to dance,588,Animals do not dance
A,1344,Drinking beers makes the girl become an alien,1344,Aliens don't exist.
A,990,if you want to have a pear then you should go to the toilet,990,Toilet is not a place to have pear
C,1323,Colgate is a brand of beer,1323,Colgate is not a brand beer
A,315,She made a clown make a shirt,315,Clowns do not make shirts.
B,28,"For Lunch, I made an armadillo sandwich for my husband.",28,Armadillo is not a sandwich.
A,347,I wore a notebook to work.,347,You can't wear a notebook.
A,408,An old car is expensive.,408,Old cars are not expensive.
A,756,"if you want fresh fruits and vegetables, you should destroy them",756,You can't get fresh fruits and vegetables by destroying them.
A,1677,I want a dirty house,1677,No one wants a dirty house
A,1877,Cat runs faster than a cheetah,1877,Cheetah is the fastest animal
A,462,All mammals have fingerprints.,462,Not all mammals have fingerprints.
A,630,"If it is a sunny day, you would have gotten wet",630,"If it is sunny, you would not get wet."
B,846,she ran toward the dangerous-looking man in the alley,846,A dangerous-looking man is not a person to run toward.
C,1115,Cats played cards last night.,1115,Cats do not play cards.
B,1880,Leafs are useless,1880,Leaves are not useless.
A,1018,you can go swimming and fishing at a zoo,1018,Zoo is not a place to go swimming and fishing
A,584,Elephants life at the north-pole.,584,Elephants do not live at the north-pole.
A,917,I decided to pack my microwave into my suitcase,917,A microwave is too big to fit in a suitcase.
C,1934,Doctors do not have to study too much,1934,Doctors don't need to study
A,1127,A brave cat saved a drowning child this morning at Zion Beach!,1127,A cat cannot save a drowning child.
C,1908,He put a giraffe in the pantry.,1908,A giraffe is much bigger than a pantry.
A,1502,"It was very hot,  so she put on her snowsuit and then ran and jumped into the pool.",1502,A snowsuit is not suitable for swimming
A,1818,I close my eyes to drive safely,1818,You can't drive safely with your eyes closed.
A,180,my boyfriend drinks diesel after breakfast every day,180,Diesel is not a drink.
C,621,I and the goats had a nice barbecue yesterday,621,A barbecue is not a barbecue
A,1173,There are whales in a big city,1173,Whales live in the ocean.
C,805,she put the ice cream in the oven,805,Ice cream does not go in the oven
C,1811,The vegetarian ate a big dinner of horse meat and vegetables from the garden.,1811,Vegetarians don't eat horse meat and vegetables.
A,256,London goes in this bus.,256,No one can go in a bus.
A,617,Alcoholic drinks are served in bowls.,617,Alcoholic drinks are not served in bowls.
A,642,he went up a valley,642,You cannot go up a valley.
A,816,the fire is cold,816,Fire is hot.
A,1577,"If you do your job badly, you will get paid regardless",1577,"If you do your job badly, you will not be paid."
A,1265,You are likely to find chocolate in the wild.,1265,Chocolate is not found in the wild.
A,787,a bulb is used to cool the room,787,A bulb does not cool a room.
A,374,I just deposited ten tigers in the banks and will get doubled in six years.,374,Tigers cannot be deposited in the banks.
A,548,Going to the movie is fun for animals.,548,Animals don't watch movies.
C,1106,My neighbor is a fish.,1106,A neighbor is not a fish.
B,232,A man walked from his home to the moon.,232,A man cannot walk from his home to the moon.
B,1170,people often use flowers to remind them of important events,1170,Flowers are not used to remind people of important events.
A,1940,The blind girl saw the red car.,1940,A blind person cannot see a car.
C,589,Apples can only be found in orchards.,589,Apples are not found in orchards.
B,1498,a turkey is a pig,1498,A turkey is a bird.
B,1387,Sound is always faster than light,1387,Sound is not faster than light.
A,1730,The woman eats a wooden sandwich.,1730,Wood is not edible.
C,343,She throws a stove in the hat.,343,A stove is too big to fit in a hat.
A,767,the neighbor park their car in the middle of the street,767,A car cannot be parked in the middle of the street.
A,852,I put many elevators in the car,852,Elevators are too big to fit in a car
A,1834,The man at the beach.,1834,Beaches don't have men.
C,1097,Humans do not eat food.,1097,Humans do not eat food.
A,1654,It is beautiful to stay hydrated,1654,It is not beautiful to stay hydrated.
A,1725,She used water to make the campfire.,1725,Water is not flammable.
B,1003,cars are the only way to get around,1003,Cars are not a mode of transportation.
B,1920,The soccer player kicked a football into the goal.,1920,A soccer player would not kick a football into the goal.
A,1462,The groom threw the bridal party at the bride,1462,The groom cannot throw the bridal party at the bride
B,1044,fishing nets are useful for covering a window,1044,"Fishing nets are used for catching fish, not for covering a window."
A,1733,The house shoved him,1733,Houses don't have hands.
C,499,You will probably find a front condo in a room.,499,A front condo is much bigger than a room.
A,858,The primary school did not accept members under the age of forty,858,A primary school does not accept members under the age of forty.
B,251,The farm is in carpet,251,A carpet is not a farm.
A,1133,Billy kicked the frisbee into the goal,1133,A frisbee cannot be kicked into the goal.
A,765,she bought two supermarket tickets,765,Supermarkets don't sell tickets.
A,1507,HE PUT A CUPBOARD IN THE OVEN,1507,A cupboard is too big to fit in an oven.
B,1970,the boy fed the fish with a ball,1970,Fish cannot be fed with a ball.
A,706,she keeps the camel inside the fridge.,706,A camel is much bigger than a fridge.
B,1833,The boy kicked the house.,1833,A house is too heavy to kick.
B,1493,Spatulas are great for both hiking and fishing.,1493,Spatulas are not used for fishing.
A,964,"there are only 3 colors, red, yellow and blue",964,There are many colors.
A,687,my brother speaks to the house,687,Houses cannot speak.
B,1523,he put an airplane on the bed,1523,An airplane is too big to be put on a bed.
A,1460,I hike on surfboards.,1460,Surfboards are not suitable for hiking.
C,406,He was in the backyard in Minnesota growing some burgers.,406,Burgers are not grown in backyard.
B,562,Smartphone is a device used for transportation,562,Smartphone is a device used for communication.
B,1855,He dried himself with a train ticket,1855,A train ticket is not a drying material.
A,1067,Milk contains alcohol.,1067,Milk does not contain alcohol.
C,708,Books are piglets with flowers in their hair,708,Books are not piglets with flowers in their hair
A,18,She strictly does not allow food into her house,18,Food is allowed in the house.
A,442,My uncle runs over the waters on weekends.,442,You can't run on water.
A,677,A fish was walking on the roadside,677,Fish can't walk.
B,207,Pens are for painting,207,Pens are not used for painting.
B,1746,"After driving for fifteen minutes, he turned on the ignition.",1746,Ignition is not a vehicle.
C,153,A television is something that you seat on daily.,153,Television is not a place to sit on.
A,411,He took the giraffe to the store,411,A giraffe is much bigger than a store.
B,134,She turned in her homework five years after it was due and got full credit,134,"Five years after a homework is due, it is not creditable."
A,1513,she put a horse in the washing machine,1513,A horse is too big to fit in a washing machine
B,1503,Basketball is played with pianos,1503,Basketball is played with a basketball ball.
A,1752,He closed the blinds because it was too dark,1752,Closing the blinds would make it darker.
A,430,Plants need motor oil.,430,Plants do not need motor oil.
C,1933,He put a shark into the fridge.,1933,A shark is much bigger than a fridge.
C,1378,she went to buy a toothbrush at a flower shop,1378,Flower shops do not sell toothbrush
C,1433,The cat drank milk in the duck.,1433,Cats do not drink milk.
B,1209,Reading to your children can make them stronger,1209,Reading to children is not a way to strengthen them.
B,1369,She put her shoes on the stove in the morning.,1369,Shoes are not used to cook.
A,498,She taught Spanish to her lilac bush.,498,Lilac bushes don't speak any language.
C,517,He placed the table on top of the pencil,517,A table cannot be put on a pencil
C,1286,grandparents don't love their children,1286,Grandparents love their children
B,709,Her mom messed up her daughter's hair.,709,Hair is not a thing to mess up.
B,443,My window speaks very well.,443,Window does not speak.
B,1935,Jumping is very important.,1935,Jumping is not necessary for a person to be healthy.
C,1346,The kid took her mother to the school,1346,Children do not take their mother to school
B,1384,Hats can protect you from an accident,1384,Hats are not designed to protect from an accident.
B,1223,he hit a helicopter over the flag,1223,Helicopters are not used to hit the flag.
A,269,I eat rocks every day for lunch.,269,Rocks are not edible.
C,356,The lizard climbed the ocean.,356,A lizard cannot climb the ocean.
A,1314,A grapefruit is bigger than a pumpkin.,1314,A grapefruit is smaller than a pumpkin.
B,823,it snows in summer,823,Summer is not a season of snows.
C,210,I was doing my laundry at the library.,210,A library is not a place to do laundry.
A,739,The snake sleeps on the mice that come through the alleys,739,Snakes do not sleep on mice.
A,595,Friends have to talk to each other every day,595,No one can talk to each other every day
A,482,Stepping through the window is the usual way to enter a room.,482,The usual way to enter a room is through the door.
A,1453,"""When she said """"Go to the store"" she meant the plane had arrived.""",1453,Planes don't land at stores.
A,266,He broke his leg and went to get a burger,266,You can't get a burger with a broken leg.
C,1382,People take showers when they feel happy.,1382,Showers do not make people happy.
C,1101,Ripping a paper in half creates six pieces.,1101,You can't rip paper in half.
B,1518,He cut the lawn with his scissors.,1518,A scissors is not sharp enough to cut a lawn.
C,141,Dogs require aluminum to survive.,141,Aluminum is not necessary for dogs to survive.
A,552,He combed a bookshelf because it is hairy.,552,A bookshelf does not have hair.
A,1631,There is a man in the oven,1631,A man cannot fit in an oven.
B,140,The car can go the speed of light,140,Cars are not able to go the speed of light.
C,1080,He put stone into the fridge.,1080,Stones are too hard to fit in a fridge.
B,1214,books are used to watch a movie,1214,Books are not used to watch movies.
B,460,Michael swam across the Pacific Ocean,460,Swimming across the ocean is not possible.
A,1036,dinosaurs are alive on earth,1036,Dinosaurs are extinct.
A,379,I like to drink coffee beans in the morning,379,Coffee beans are not edible.
A,1019,he put a chair in the basket,1019,A chair would not fit in a basket.
C,1315,I put a dumpling in the washing machine,1315,A dumpling would not fit in a washing machine
C,334,Horse uses its trunk to drink water,334,A horse cannot use a trunk to drink water
B,731,my brother always takes mud in the morning,731,Mud is not a food.
A,715,My roommate waters his cell phone every morning.,715,Cell phones do not need to be watered.
A,375,My dog is laying on the ceiling.,375,A dog cannot lay on the ceiling.
A,419,A dog can cut down a tree.,419,A dog cannot cut down a tree.
A,842,we go to the disco to pray every weekend,842,A disco is not a place to pray.
A,1159,I picked up a basket full of peppers from the tree in the yard.,1159,Peppers don't grow on trees.
A,1221,Joe asked Mary to have a date because he dislikes her,1221,"If he dislikes her, he wouldn't want to have a date."
A,1404,people like to dress nothing on the street,1404,Nothing can be worn on the street.
A,641,he bought the bike from the bookstore,641,A bookstore does not sell bikes.
C,32,The farm went to the farm,32,A farm does not go to a farm
A,1591,You don't need to read,1591,People need to read to survive.
A,1129,My dad grew volleyballs in his garden.,1129,You can't grow volleyballs.
B,1666,i stand up in the theater,1666,Theater is not a place to stand up.
C,1638,Every good singer is a member of the family of John Legend,1638,John Legend is not a member of the family
A,554,My sister eats a pair of scissors,554,Scissors are not edible.
C,224,the horse laid an egg,224,Horses do not lay eggs
A,304,The angered chocolate bar is noisy,304,Chocolate bars are not noisy.
A,600,Chronic pain is usually caused by a person's mood.,600,A person's mood does not cause pain.
B,216,Pianos have fires inside of them,216,Pianos don't have fire inside of them.
B,278,He took his house to the park 2 blocks away,278,A house is too big to park in a park.
A,66,Many cancer patients lose their hand because of chemotherapy,66,chemotherapy does not affect hands.
B,1164,you are supposed to buy tickets after you get off the train,1164,Tickets are not sold on the train.
B,1684,The sky is green.,1684,Green is not a color.
A,1905,honesty should be banned,1905,Honesty is not a crime.
A,138,she likes to sing loudly at work,138,No one likes to sing loudly at work
B,1988,The whale swam in the sky,1988,Whales don't swim in the sky.
A,1587,The man was tired of shoveling marbles every winter.,1587,Marbles are not shoveled.
C,1783,the teacher was harvesting wheat in the classroom,1783,Wheat is not harvested in the classroom
A,1360,You are likely to find a cow in a kennel,1360,A cow is much bigger than a kennel.
B,1455,The lion used the litter box,1455,Lions don't use litter boxes.
B,302,She read the chair a book,302,A chair is not a book.
A,768,shields can't protect ancient warriors from harm,768,Ants can protect ancient warriors from harm.
B,13,Cigarette is good for healthy,13,Cigarettes are not good for health.
C,1107,Human have four legs.,1107,Humans do not have four legs.
A,1807,Birds were heard barking at night,1807,Birds do not bark.
C,695,He melted the TV onto the bread.,695,You can't melt a TV on a bread.
B,1000,the turtle swam on the land,1000,Turtles don't swim.
A,1653,The fish ran through the forest,1653,Fish can't run.
C,1064,Starfish are found in outer space,1064,Starfish are not found in outer space
A,1237,Canvas is used for serving food,1237,A canvas is not used for serving food.
A,984,he made dinner on the television,984,You can't make dinner on a television.
A,671,India backs Mars government,671,Mars has no government.
C,1691,Hot Dogs are the most popular food item in America.,1691,Hot dogs are not food items.
B,370,HE WAS GOING TO RESTAURANT AFTER ACCIDENT,370,Restaurant is not a place to go after an accident.
A,1463,the bread is much sweeter than candy,1463,Bread is not sweet.
C,1426,Girls only like the color pink.,1426,Pink is not a color of girls.
A,16,He inserts his thumb into the car Ignition switch.,16,A car ignition switch cannot be inserted into a thumb.
A,798,hair gel is to be applied onto the back,798,The gel is to be applied onto the front.
A,1537,My glasses help me smell,1537,Glasses are not used to smell.
B,1954,People use cars to fly.,1954,Cars are not used for flying.
A,1527,Babies cry in their sleep a lot.,1527,Babies do not cry in their sleep.
B,577,He drove his boat on the highway,577,Boats are not vehicles.
A,840,there are 8 days in a week,840,There are 8 days in a week.
C,308,Mike ran four sandwiches.,308,No one can run a sandwich.
A,1897,The cow ate the chickens in the pasture.,1897,Cows don't eat chickens.
C,220,"When you go out to a baseball game, you are participating in the activity of baseball.",220,Baseball is not an activity.
B,1663,i use my dog to play cricket,1663,Dogs are not used to play cricket.
B,337,Bats can ride bicycles.,337,Bats are not able to ride bicycles.
A,1979,Water can only be cold.,1979,Water is a liquid and cannot be cold.
B,124,There are lots of fish in the sky.,124,Fish don't live in the sky.
A,457,the ice cream stays cold in the microwave,457,Ice cream would melt in the microwave.
C,1338,every people sit quietly on a bus,1338,Buses are not a place for people to sit on buses
C,661,he gave his dresses to wash in the study room,661,You don't wash clothes in the study room
A,1185,Fruits and vegetables provide toxins,1185,Fruits and vegetables do not contain toxins.
C,1968,mailmen deliver babies,1968,Mailmen do not give birth to babies
B,1319,Fish can help you learn,1319,Fish are not learning aids.
A,651,They write their exam by a water bottle.,651,Water bottles are not writing utensils.
B,1815,When people are hungry they drink water and do not eat food.,1815,Water is not a food.
B,1599,he kept the ice cream in the oven,1599,Ice cream is not kept in the oven.
A,1827,people usually walk backward,1827,People usually walk forward.
C,1258,Insects eat men,1258,Insects do not eat men
B,323,All insects are ants.,323,Insects are not ants.
B,818,bananas grow on the ground,818,Banana grows on the tree.
A,177,athletes are slow,177,Athletes are fast.
A,583,He smokes Cigarettes in a gas station.,583,Cigarettes are not sold at gas stations.
A,1567,Canada is a country in Antarctica,1567,There is no country in Antarctica.
A,1108,The dog bought a new pet.,1108,Dogs can't buy pets.
C,658,dogs are very social animals who prefer a solitary existence to live in a pack,658,Dogs are social animals
C,1726,donkeys walk on two legs,1726,Donkeys don't walk on two legs
B,1705,To get to the top of the building you must use an elevator,1705,Elevators are not used to get to the top of the building.
C,93,Water tastes like orange juice,93,Water does not taste like orange juice
A,342,the briefcase is stored in some documents,342,A briefcase is much bigger than a document.
A,1878,Children do not like playtime,1878,Children like to play.
A,330,Arguments are something to be striven for.,330,Arguments are not something to be striven for.
B,1824,A ball can tear your trousers if you come in contact with it.,1824,A ball is not a material that can tear a pair of trousers.
B,733,The public library has lots of fish and birds,733,Fish and birds are not in public libraries.
A,199,Popsicles are made of cotton,199,Popsicles are not made of cotton.
B,815,you should pull on the brake to accelerate your bike,815,Brake is not used to accelerate bike.
C,1099,The snake plays basketball.,1099,Snakes do not play basketball.
A,542,Something you find under a desk is the ceiling fan.,542,A ceiling fan is not found under a desk.
C,1568,Dogs eat cats,1568,Dogs don't eat cats
B,181,He washed the sky,181,Sky is not a thing to wash.
C,1773,He planted a chair in the jar.,1773,A chair cannot be planted in a jar.
A,812,walking to university is a form of education,812,Going to university is not a form of education.
B,940,the doctor sent the prescription pills by e-mail,940,Doctors don't send prescription pills by e-mail.
B,922,ham is made from a cat,922,A cat is not a material.
A,736,One morning I shot an elephant in my pajamas,736,You can't shoot an elephant in your pajamas.
C,9,She inserts her finger in the lock,9,A finger does not fit in a lock
A,459,The cat pounced on the rabbit,459,A cat is much bigger than a rabbit.
A,284,I rescued my goldfish from the shelter.,284,Goldfish do not live in shelters.
C,1991,He ate an entire zebra for lunch.,1991,Zebras are not edible.
A,1780,She put a ram in her face.,1780,A ram is too big to fit in a person's face.
B,1349,The frog ate a tiger,1349,Frogs are not carnivores.
C,1439,The cat likes to watch alligators.,1439,Cats do not like to watch alligators.
A,681,John can kick the ball with his hands,681,You kick the ball with your feet.
A,1288,playing in rain increases the chances to get caught by police,1288,Rain is not a reason to get caught by police.
A,1112,The woman's purse was floating above her.,1112,A purse cannot float.
A,393,The best car is the spaceships.,393,Spaceships are not cars.
B,208,Eating an apple a day will invite the diseases,208,Eating an apple will not cause disease.
B,1324,The dishwasher makes dishes dirty,1324,Dishwashers are used to clean dishes.
B,405,He punched a hamburger for lunch,405,A hamburger is not a punchable object.
B,1614,It's important to skip school to get good grades,1614,School is not a place to get good grades.
B,1688,"To be the president of the country, you have to win the vote",1688,The president of the country is not the person who has to win the vote.
B,1660,I want ice cream so I buy an elephant,1660,An elephant is not a food item.
C,1667,my android mobile installs games from the app store,1667,An android mobile does not install games from an app store
