id,FalseSent,id,generated,ranking
761,he carried a whale in his car,761,A whale is too big to carry in a car
679,He went to fishing in the Jeep to the desert.,679,You can't fish in a Jeep.
817,the ripe apples taste spicy,817,Apples don't taste spicy.
1007,the two-years-old baby drove her father daycare,1007,A two-year-old baby cannot drive.
1136,I can drink bleach instead of water,1136,Bleach is not a liquid.
1339,She went for a run on the Sun.,1339,You can't run on the sun.
384,the room is a nice place to jog,384,A room is not a place to jog.
243,The black owl is red,243,Owls are black.
1744,"Yesterday, a dinosaur chased me.",1744,Dinosaurs are extinct.
713,My son placed his school locker on his dresser.,713,A school locker is much bigger than a dresser.
764,the farmers live on a cloud,764,Clouds are not suitable for human habitation
1058,Wallets are typically used to hold spider eggs and denim.,1058,Wallets are not used to hold eggs.
421,Janitors create financial models for their company,421,A janitor does not have the knowledge to create financial models.
721,She took a live giraffe from the shelf.,721,Giraffe is not a live thing.
1926,She put a child into the oven,1926,A child cannot be put in an oven
632,She cut down the grass with a chainsaw,632,Chainsaw is not used to cut grass
921,he swam on the track,921,You can't swim on a track.
720,This girl made a horrible time-lapse,720,Time-lapse is not a thing to make.
1814,the little girl howled at the wolf,1814,Wolves don't howl.
665,He wrote a book by breaking his pen.,665,You can't write a book by breaking a pen.
563,I oiled the floors.,563,Oiling the floors will not make them cleaner.
691,He turned on the TV with the VCR.,691,A VCR is not used to turn on the TV.
1027,the man put on his airplane,1027,Airplane is not a clothing item.
444,The woman dyes her feet every six weeks at the salon.,444,No one dyes their feet.
1163,"if you break the law, you will receive a reward",1163,Breaking the law will not reward people.
390,The Pokemon caught Ash,390,Ash is not a Pokemon.
788,the person was connected to the mixing console,788,Mixing console is not a communication device.
373,I use grass to cut my weed whacker.,373,Grass is not sharp enough to cut a weed whacker.
1972,He buy a planet.,1972,Planets are not for sale.
1198,A fan can sleep,1198,A fan cannot sleep
1326,one hundred people enter in the car,1326,A car cannot hold that many people.
1022,I ride a car on the ocean,1022,You can't ride a car on the ocean
579,You can ride the subway in the country.,579,There is no subway in the country.
1786,She put a cat in the cup.,1786,A cat is too big to fit in a cup
97,He used the mop to clean the carpet.,97,Mop is not used to clean carpets.
1549,the mobile phone is one of the food,1549,Mobile phones are not food.
1082,Houses are found in lakes.,1082,Houses are not found in lakes.
1706,A dead man still has many senses,1706,Dead men have no senses.
56,Put the baby in the driver seat.,56,A baby cannot fit in a driver seat.
673,He uses dumbbells for data typing work.,673,Dumbbells are not used for typing.
794,it is safe to touch liquid nitrogen,794,Liquid nitrogen is very dangerous.
403,"The ant stepped on the child, which killed it.",403,An ant is too small to step on a child.
614,He opened a can opener with a can opener.,614,A can opener is not a tool to open a can.
45,James put the babies in the dog house.,45,Babies do not belong in a dog house.
1029,he put a cat in the freezer,1029,A cat is too big to fit in a freezer.
1259,The elephant jumped into the car.,1259,An elephant is too big to jump into a car.
1013,crackhead does not take drugs,1013,Crackhead is a drug addict.
47,Leena eats almost 1000 bananas daily as his morning breakfast.,47,Bananas are not edible.
527,An electrician generates electricity.,527,Electricians do not generate electricity.
1698,he was swimming to Hawaii,1698,Hawaii is not a swimming destination.
1006,scissors are used to cut through rivers,1006,Rivers are too deep for scissors to cut through.
1847,A sandwich eats me.,1847,A sandwich is not a living thing.
1110,Daniel performed woefully behind others because he's the most intelligent and brilliant in his class,1110,"If he's the most intelligent and brilliant in his class, he should perform well."
1868,The Management People were happy hearing the Protest news,1868,Protest news is not a good thing to hear.
1796,She put a pig in her pocket.,1796,A pig is too big to fit in a pocket
1960,The cow went to college to study art.,1960,Cows do not study at college.
1514,Asia is part of Dubai,1514,Dubai is not part of Asia.
604,She takes a bath after wearing her running shoes.,604,Running shoes are not used to take a bath.
1612,A FISH WALKS IN THE STREET,1612,Fishes can't walk.
102,surveys have been known to harm children,102,Ants are not known to harm children.
513,Women are usually larger than men.,513,Women are usually smaller than men.
248,dinner is for dancing at,248,Dinner is not a place for dancing.
193,The best wood is made out of metal.,193,Wood is not made out of metal.
1622,Roses are blue and violets are red,1622,Roses are red and violets are blue.
1475,The kangaroos are common to every continent.,1475,Kangaroos are not found on every continent.
920,dancers just arrived at the accident scene to rescue the victims,920,Dancers don't have the ability to rescue people.
1927,Sandwich made a turkey.,1927,Turkeys are not made by sandwiches.
52,My father can take a high jump up to 200m.,52,No one can take a high jump up to 200 meters.
1585,Heaven is horrible,1585,Heaven is beautiful.
1607,She went to the museum next weekend.,1607,Museum is not a place to go
1060,I was on date with lion yesterday.,1060,Lion is not a person.
1739,My mom always cuts my fish's hair.,1739,Fish do not have hair.
250,It is OK to take hot things out of the oven without using an oven mitten.,250,An oven mitten is used to take things out of the oven.
1852,He put a pony in the lock.,1852,A pony is too big to fit in a lock.
576,Banks lend money without any interest,576,Banks lend money without any interest.
705,He drinks white glue in breakfast,705,Glue is not edible.
945,Peter is sleeping towards the bus stop,945,"People sleep in their beds, not on the bus stop."
613,The teachers scolded the principal.,613,Teachers do not scolded the principal.
1793,He put on a bike.,1793,Bike is not a thing to put on.
324,She put the filing cabinet into the papers.,324,A filing cabinet is not a paper.
339,My bird is about forty feet tall.,339,Birds are not that tall.
1229,No one drinks milk because you cannot absorb nutrients from it.,1229,Milk contains a lot of nutrients.
650,He cut the onion with a spoon,650,A spoon is not sharp enough to cut the onion.
1506,The man who flies a plane is called a conductor.,1506,A conductor does not fly a plane.
333,He is wearing gloves on his feet.,333,Gloves are not worn on feet.
6,Grizzly bears hate honey.,6,Honey is the favourite food of Grizzly bears.
1449,He left the cat in the kennel.,1449,A cat is too big to fit in a kennel.
1419,Traveling by teleporting can take quite a long time.,1419,Teleporting takes very little time.
15,The frog has claws and a stinger on its tail.,15,A frog does not have claws or a stinger.
1584,peoples use a handkerchief for eyes while the bike rides,1584,A handkerchief is not used for eyes.
1630,Thanks for giving days starts the new year,1630,Giving days are not part of the new year.
611,The counter fell off the lamp,611,A counter is much bigger than a lamp.
1432,He can cook a whole elephant in a frying pan,1432,An elephant is too big to fit in a frying pan.
1293,Rocks may float when placed in water.,1293,Rocks do not float.
429,he likes to drink motor oil,429,Motor oil is not a drink.
1942,The bowling ball is swimming in the pond.,1942,Bowling balls are not swimming objects.
252,He put bricks in the oven for baking,252,Bricks are not baked.
1001,he kept his prized horse in his pocket and had it taken care by a florist,1001,A florist does not deal with horses.
1569,"It might rain later today,  be sure to grab your breakfast before you leave.",1569,Breakfast is not a means of protection from the rain.
1885,We do not use the internet in today's generation.,1885,Internet is a communication tool.
1352,There are top hats in the freezer,1352,Top hats are not in the freezer.
332,Most people sleep in a shoe.,332,Shoe is not a place to sleep.
1536,Many ships are sunk when they enter Canada.,1536,Ships are not sunk when they enter Canada.
1442,the fish is fishing,1442,Fish do not fish
1510,He put the basketball inside a cup,1510,A basketball is too big to fit in a cup.
606,The last thing you do when you leave the home is curling your hair.,606,Curling your hair is not the last thing you do when you leave home.
1781,She washed the car in the sink.,1781,A car is too big to fit in a sink
901,the baby held a grizzly bear,901,A grizzly bear is much bigger than a baby.
402,She hung a post-it note on her pin-board using a cockroach,402,A post-it note is not a thing to hang on a pin-board.
1311,"It was an August morning when Jessica,  a receptionist living in Toronto,  decided to wear her snowsuit to work.",1311,Snowsuits are worn in winter.
279,He flew the airplane to Jupiter,279,You cannot fly an airplane to Jupiter.
1891,The sky is underground,1891,The sky is not underground.
1472,Its cooler in Arizona than anywhere in the USA.,1472,Arizona is one of the hottest places in the USA.
53,A graphics tablet enables VR games to be played on a computer,53,A graphics tablet does not play games on a computer
10,My sister visited art museum with her zebra,10,Zebra is not a museum
1892,the library has only one storybook,1892,The library has many storybooks.
880,Jack lost his giraffe,880,Giraffe is not a toy.
1070,"Dogs can come in many different colors such as red, blue, and green.",1070,Dogs do not come in many colors.
420,She put an ice cream in the oven.,420,Ice cream would melt in the oven.
1741,TORTOISE RUNS FASTER THAN CAT,1741,Tortoises don't run faster than cats.
1301,He put a motorcycle in his wallet,1301,A motorcycle is too big to fit in a wallet
1917,Video games are not fun,1917,Games are fun.
219,She was drinking from a plate,219,Plates are not used for drinking.
1204,My car is going to the church service,1204,A car cannot go to a church service.
1230,She was interviewed after she got the offer,1230,Interviews are done after the interviewee is hired.
1179,"if he is retarded,  he will pass the examination",1179,"If he is retarded, he will not pass the examination."
960,we drove our car for 40000 miles before having to stop for an oil refill,960,You cannot drive a car for 40000 miles without stopping for an oil refill
615,The woman had her hair cut at the hardware store.,615,A hardware store does not have haircuts.
1165,You are likely to find Rice bags in shoe shops,1165,Rice bags are not sold in shoe shops.
24,She came off walking across the Pacific ocean,24,You can't walk across the ocean.
273,A rainbow can appear on the ground,273,Rainbows appear in the sky.
1428,Birds do not fly,1428,Birds can fly.
862,she threw the football to the batter,862,You don't throw football to the bat
1830,You are unlikely to ever find a book in the library.,1830,Library is not a place to find books.
1409,He put a snake on pizza.,1409,Snakes are not edible.
1993,I sliced the strong meat with my Kitchen spoon.,1993,A Kitchen spoon is not sharp enough to cut meat.
622,The giraffe likes to ride  bicycle,622,A giraffe does not ride a bicycle
607,She started a fire in the fridge.,607,A fridge is not a place to start a fire.
588,School is where animals go to dance,588,Animals do not dance
1344,Drinking beers makes the girl become an alien,1344,Aliens don't exist.
990,if you want to have a pear then you should go to the toilet,990,Toilet is not a place to have pear
1323,Colgate is a brand of beer,1323,Colgate is not a brand beer
315,She made a clown make a shirt,315,Clowns do not make shirts.
28,"For Lunch, I made an armadillo sandwich for my husband.",28,Armadillo is not a sandwich.
347,I wore a notebook to work.,347,You can't wear a notebook.
408,An old car is expensive.,408,Old cars are not expensive.
756,"if you want fresh fruits and vegetables, you should destroy them",756,You can't get fresh fruits and vegetables by destroying them.
1677,I want a dirty house,1677,No one wants a dirty house
1877,Cat runs faster than a cheetah,1877,Cheetah is the fastest animal
462,All mammals have fingerprints.,462,Not all mammals have fingerprints.
630,"If it is a sunny day, you would have gotten wet",630,"If it is sunny, you would not get wet."
846,she ran toward the dangerous-looking man in the alley,846,A dangerous-looking man is not a person to run toward.
1115,Cats played cards last night.,1115,Cats do not play cards.
1880,Leafs are useless,1880,Leaves are not useless.
1018,you can go swimming and fishing at a zoo,1018,Zoo is not a place to go swimming and fishing
584,Elephants life at the north-pole.,584,Elephants do not live at the north-pole.
917,I decided to pack my microwave into my suitcase,917,A microwave is too big to fit in a suitcase.
1934,Doctors do not have to study too much,1934,Doctors don't need to study
1127,A brave cat saved a drowning child this morning at Zion Beach!,1127,A cat cannot save a drowning child.
1908,He put a giraffe in the pantry.,1908,A giraffe is much bigger than a pantry.
1502,"It was very hot,  so she put on her snowsuit and then ran and jumped into the pool.",1502,A snowsuit is not suitable for swimming
1818,I close my eyes to drive safely,1818,You can't drive safely with your eyes closed.
180,my boyfriend drinks diesel after breakfast every day,180,Diesel is not a drink.
621,I and the goats had a nice barbecue yesterday,621,A barbecue is not a barbecue
1173,There are whales in a big city,1173,Whales live in the ocean.
805,she put the ice cream in the oven,805,Ice cream does not go in the oven
1811,The vegetarian ate a big dinner of horse meat and vegetables from the garden.,1811,Vegetarians don't eat horse meat and vegetables.
256,London goes in this bus.,256,No one can go in a bus.
617,Alcoholic drinks are served in bowls.,617,Alcoholic drinks are not served in bowls.
642,he went up a valley,642,You cannot go up a valley.
816,the fire is cold,816,Fire is hot.
1577,"If you do your job badly, you will get paid regardless",1577,"If you do your job badly, you will not be paid."
1265,You are likely to find chocolate in the wild.,1265,Chocolate is not found in the wild.
787,a bulb is used to cool the room,787,A bulb does not cool a room.
374,I just deposited ten tigers in the banks and will get doubled in six years.,374,Tigers cannot be deposited in the banks.
548,Going to the movie is fun for animals.,548,Animals don't watch movies.
1106,My neighbor is a fish.,1106,A neighbor is not a fish.
232,A man walked from his home to the moon.,232,A man cannot walk from his home to the moon.
1170,people often use flowers to remind them of important events,1170,Flowers are not used to remind people of important events.
1940,The blind girl saw the red car.,1940,A blind person cannot see a car.
589,Apples can only be found in orchards.,589,Apples are not found in orchards.
1498,a turkey is a pig,1498,A turkey is a bird.
1387,Sound is always faster than light,1387,Sound is not faster than light.
1730,The woman eats a wooden sandwich.,1730,Wood is not edible.
343,She throws a stove in the hat.,343,A stove is too big to fit in a hat.
767,the neighbor park their car in the middle of the street,767,A car cannot be parked in the middle of the street.
852,I put many elevators in the car,852,Elevators are too big to fit in a car
1834,The man at the beach.,1834,Beaches don't have men.
1097,Humans do not eat food.,1097,Humans do not eat food.
1654,It is beautiful to stay hydrated,1654,It is not beautiful to stay hydrated.
1725,She used water to make the campfire.,1725,Water is not flammable.
1003,cars are the only way to get around,1003,Cars are not a mode of transportation.
1920,The soccer player kicked a football into the goal.,1920,A soccer player would not kick a football into the goal.
1462,The groom threw the bridal party at the bride,1462,The groom cannot throw the bridal party at the bride
1044,fishing nets are useful for covering a window,1044,"Fishing nets are used for catching fish, not for covering a window."
1733,The house shoved him,1733,Houses don't have hands.
499,You will probably find a front condo in a room.,499,A front condo is much bigger than a room.
858,The primary school did not accept members under the age of forty,858,A primary school does not accept members under the age of forty.
251,The farm is in carpet,251,A carpet is not a farm.
1133,Billy kicked the frisbee into the goal,1133,A frisbee cannot be kicked into the goal.
765,she bought two supermarket tickets,765,Supermarkets don't sell tickets.
1507,HE PUT A CUPBOARD IN THE OVEN,1507,A cupboard is too big to fit in an oven.
1970,the boy fed the fish with a ball,1970,Fish cannot be fed with a ball.
706,she keeps the camel inside the fridge.,706,A camel is much bigger than a fridge.
1833,The boy kicked the house.,1833,A house is too heavy to kick.
1493,Spatulas are great for both hiking and fishing.,1493,Spatulas are not used for fishing.
964,"there are only 3 colors, red, yellow and blue",964,There are many colors.
687,my brother speaks to the house,687,Houses cannot speak.
1523,he put an airplane on the bed,1523,An airplane is too big to be put on a bed.
1460,I hike on surfboards.,1460,Surfboards are not suitable for hiking.
406,He was in the backyard in Minnesota growing some burgers.,406,Burgers are not grown in backyard.
562,Smartphone is a device used for transportation,562,Smartphone is a device used for communication.
1855,He dried himself with a train ticket,1855,A train ticket is not a drying material.
1067,Milk contains alcohol.,1067,Milk does not contain alcohol.
708,Books are piglets with flowers in their hair,708,Books are not piglets with flowers in their hair
18,She strictly does not allow food into her house,18,Food is allowed in the house.
442,My uncle runs over the waters on weekends.,442,You can't run on water.
677,A fish was walking on the roadside,677,Fish can't walk.
207,Pens are for painting,207,Pens are not used for painting.
1746,"After driving for fifteen minutes, he turned on the ignition.",1746,Ignition is not a vehicle.
153,A television is something that you seat on daily.,153,Television is not a place to sit on.
411,He took the giraffe to the store,411,A giraffe is much bigger than a store.
134,She turned in her homework five years after it was due and got full credit,134,"Five years after a homework is due, it is not creditable."
1513,she put a horse in the washing machine,1513,A horse is too big to fit in a washing machine
1503,Basketball is played with pianos,1503,Basketball is played with a basketball ball.
1752,He closed the blinds because it was too dark,1752,Closing the blinds would make it darker.
430,Plants need motor oil.,430,Plants do not need motor oil.
1933,He put a shark into the fridge.,1933,A shark is much bigger than a fridge.
1378,she went to buy a toothbrush at a flower shop,1378,Flower shops do not sell toothbrush
1433,The cat drank milk in the duck.,1433,Cats do not drink milk.
1209,Reading to your children can make them stronger,1209,Reading to children is not a way to strengthen them.
1369,She put her shoes on the stove in the morning.,1369,Shoes are not used to cook.
498,She taught Spanish to her lilac bush.,498,Lilac bushes don't speak any language.
517,He placed the table on top of the pencil,517,A table cannot be put on a pencil
1286,grandparents don't love their children,1286,Grandparents love their children
709,Her mom messed up her daughter's hair.,709,Hair is not a thing to mess up.
443,My window speaks very well.,443,Window does not speak.
1935,Jumping is very important.,1935,Jumping is not necessary for a person to be healthy.
1346,The kid took her mother to the school,1346,Children do not take their mother to school
1384,Hats can protect you from an accident,1384,Hats are not designed to protect from an accident.
1223,he hit a helicopter over the flag,1223,Helicopters are not used to hit the flag.
269,I eat rocks every day for lunch.,269,Rocks are not edible.
356,The lizard climbed the ocean.,356,A lizard cannot climb the ocean.
1314,A grapefruit is bigger than a pumpkin.,1314,A grapefruit is smaller than a pumpkin.
823,it snows in summer,823,Summer is not a season of snows.
210,I was doing my laundry at the library.,210,A library is not a place to do laundry.
739,The snake sleeps on the mice that come through the alleys,739,Snakes do not sleep on mice.
595,Friends have to talk to each other every day,595,No one can talk to each other every day
482,Stepping through the window is the usual way to enter a room.,482,The usual way to enter a room is through the door.
1453,"""When she said """"Go to the store"" she meant the plane had arrived.""",1453,Planes don't land at stores.
266,He broke his leg and went to get a burger,266,You can't get a burger with a broken leg.
1382,People take showers when they feel happy.,1382,Showers do not make people happy.
1101,Ripping a paper in half creates six pieces.,1101,You can't rip paper in half.
1518,He cut the lawn with his scissors.,1518,A scissors is not sharp enough to cut a lawn.
141,Dogs require aluminum to survive.,141,Aluminum is not necessary for dogs to survive.
552,He combed a bookshelf because it is hairy.,552,A bookshelf does not have hair.
1631,There is a man in the oven,1631,A man cannot fit in an oven.
140,The car can go the speed of light,140,Cars are not able to go the speed of light.
1080,He put stone into the fridge.,1080,Stones are too hard to fit in a fridge.
1214,books are used to watch a movie,1214,Books are not used to watch movies.
460,Michael swam across the Pacific Ocean,460,Swimming across the ocean is not possible.
1036,dinosaurs are alive on earth,1036,Dinosaurs are extinct.
379,I like to drink coffee beans in the morning,379,Coffee beans are not edible.
1019,he put a chair in the basket,1019,A chair would not fit in a basket.
1315,I put a dumpling in the washing machine,1315,A dumpling would not fit in a washing machine
334,Horse uses its trunk to drink water,334,A horse cannot use a trunk to drink water
731,my brother always takes mud in the morning,731,Mud is not a food.
715,My roommate waters his cell phone every morning.,715,Cell phones do not need to be watered.
375,My dog is laying on the ceiling.,375,A dog cannot lay on the ceiling.
419,A dog can cut down a tree.,419,A dog cannot cut down a tree.
842,we go to the disco to pray every weekend,842,A disco is not a place to pray.
1159,I picked up a basket full of peppers from the tree in the yard.,1159,Peppers don't grow on trees.
1221,Joe asked Mary to have a date because he dislikes her,1221,"If he dislikes her, he wouldn't want to have a date."
1404,people like to dress nothing on the street,1404,Nothing can be worn on the street.
641,he bought the bike from the bookstore,641,A bookstore does not sell bikes.
32,The farm went to the farm,32,A farm does not go to a farm
1591,You don't need to read,1591,People need to read to survive.
1129,My dad grew volleyballs in his garden.,1129,You can't grow volleyballs.
1666,i stand up in the theater,1666,Theater is not a place to stand up.
1638,Every good singer is a member of the family of John Legend,1638,John Legend is not a member of the family
554,My sister eats a pair of scissors,554,Scissors are not edible.
224,the horse laid an egg,224,Horses do not lay eggs
304,The angered chocolate bar is noisy,304,Chocolate bars are not noisy.
600,Chronic pain is usually caused by a person's mood.,600,A person's mood does not cause pain.
216,Pianos have fires inside of them,216,Pianos don't have fire inside of them.
278,He took his house to the park 2 blocks away,278,A house is too big to park in a park.
66,Many cancer patients lose their hand because of chemotherapy,66,chemotherapy does not affect hands.
1164,you are supposed to buy tickets after you get off the train,1164,Tickets are not sold on the train.
1684,The sky is green.,1684,Green is not a color.
1905,honesty should be banned,1905,Honesty is not a crime.
138,she likes to sing loudly at work,138,No one likes to sing loudly at work
1988,The whale swam in the sky,1988,Whales don't swim in the sky.
1587,The man was tired of shoveling marbles every winter.,1587,Marbles are not shoveled.
1783,the teacher was harvesting wheat in the classroom,1783,Wheat is not harvested in the classroom
1360,You are likely to find a cow in a kennel,1360,A cow is much bigger than a kennel.
1455,The lion used the litter box,1455,Lions don't use litter boxes.
302,She read the chair a book,302,A chair is not a book.
768,shields can't protect ancient warriors from harm,768,Ants can protect ancient warriors from harm.
13,Cigarette is good for healthy,13,Cigarettes are not good for health.
1107,Human have four legs.,1107,Humans do not have four legs.
1807,Birds were heard barking at night,1807,Birds do not bark.
695,He melted the TV onto the bread.,695,You can't melt a TV on a bread.
1000,the turtle swam on the land,1000,Turtles don't swim.
1653,The fish ran through the forest,1653,Fish can't run.
1064,Starfish are found in outer space,1064,Starfish are not found in outer space
1237,Canvas is used for serving food,1237,A canvas is not used for serving food.
984,he made dinner on the television,984,You can't make dinner on a television.
671,India backs Mars government,671,Mars has no government.
1691,Hot Dogs are the most popular food item in America.,1691,Hot dogs are not food items.
370,HE WAS GOING TO RESTAURANT AFTER ACCIDENT,370,Restaurant is not a place to go after an accident.
1463,the bread is much sweeter than candy,1463,Bread is not sweet.
1426,Girls only like the color pink.,1426,Pink is not a color of girls.
16,He inserts his thumb into the car Ignition switch.,16,A car ignition switch cannot be inserted into a thumb.
798,hair gel is to be applied onto the back,798,The gel is to be applied onto the front.
1537,My glasses help me smell,1537,Glasses are not used to smell.
1954,People use cars to fly.,1954,Cars are not used for flying.
1527,Babies cry in their sleep a lot.,1527,Babies do not cry in their sleep.
577,He drove his boat on the highway,577,Boats are not vehicles.
840,there are 8 days in a week,840,There are 8 days in a week.
308,Mike ran four sandwiches.,308,No one can run a sandwich.
1897,The cow ate the chickens in the pasture.,1897,Cows don't eat chickens.
220,"When you go out to a baseball game, you are participating in the activity of baseball.",220,Baseball is not an activity.
1663,i use my dog to play cricket,1663,Dogs are not used to play cricket.
337,Bats can ride bicycles.,337,Bats are not able to ride bicycles.
1979,Water can only be cold.,1979,Water is a liquid and cannot be cold.
124,There are lots of fish in the sky.,124,Fish don't live in the sky.
457,the ice cream stays cold in the microwave,457,Ice cream would melt in the microwave.
1338,every people sit quietly on a bus,1338,Buses are not a place for people to sit on buses
661,he gave his dresses to wash in the study room,661,You don't wash clothes in the study room
1185,Fruits and vegetables provide toxins,1185,Fruits and vegetables do not contain toxins.
1968,mailmen deliver babies,1968,Mailmen do not give birth to babies
1319,Fish can help you learn,1319,Fish are not learning aids.
651,They write their exam by a water bottle.,651,Water bottles are not writing utensils.
1815,When people are hungry they drink water and do not eat food.,1815,Water is not a food.
1599,he kept the ice cream in the oven,1599,Ice cream is not kept in the oven.
1827,people usually walk backward,1827,People usually walk forward.
1258,Insects eat men,1258,Insects do not eat men
323,All insects are ants.,323,Insects are not ants.
818,bananas grow on the ground,818,Banana grows on the tree.
177,athletes are slow,177,Athletes are fast.
583,He smokes Cigarettes in a gas station.,583,Cigarettes are not sold at gas stations.
1567,Canada is a country in Antarctica,1567,There is no country in Antarctica.
1108,The dog bought a new pet.,1108,Dogs can't buy pets.
658,dogs are very social animals who prefer a solitary existence to live in a pack,658,Dogs are social animals
1726,donkeys walk on two legs,1726,Donkeys don't walk on two legs
1705,To get to the top of the building you must use an elevator,1705,Elevators are not used to get to the top of the building.
93,Water tastes like orange juice,93,Water does not taste like orange juice
342,the briefcase is stored in some documents,342,A briefcase is much bigger than a document.
1878,Children do not like playtime,1878,Children like to play.
330,Arguments are something to be striven for.,330,Arguments are not something to be striven for.
1824,A ball can tear your trousers if you come in contact with it.,1824,A ball is not a material that can tear a pair of trousers.
733,The public library has lots of fish and birds,733,Fish and birds are not in public libraries.
199,Popsicles are made of cotton,199,Popsicles are not made of cotton.
815,you should pull on the brake to accelerate your bike,815,Brake is not used to accelerate bike.
1099,The snake plays basketball.,1099,Snakes do not play basketball.
542,Something you find under a desk is the ceiling fan.,542,A ceiling fan is not found under a desk.
1568,Dogs eat cats,1568,Dogs don't eat cats
181,He washed the sky,181,Sky is not a thing to wash.
1773,He planted a chair in the jar.,1773,A chair cannot be planted in a jar.
812,walking to university is a form of education,812,Going to university is not a form of education.
940,the doctor sent the prescription pills by e-mail,940,Doctors don't send prescription pills by e-mail.
922,ham is made from a cat,922,A cat is not a material.
736,One morning I shot an elephant in my pajamas,736,You can't shoot an elephant in your pajamas.
9,She inserts her finger in the lock,9,A finger does not fit in a lock
459,The cat pounced on the rabbit,459,A cat is much bigger than a rabbit.
284,I rescued my goldfish from the shelter.,284,Goldfish do not live in shelters.
1991,He ate an entire zebra for lunch.,1991,Zebras are not edible.
1780,She put a ram in her face.,1780,A ram is too big to fit in a person's face.
1349,The frog ate a tiger,1349,Frogs are not carnivores.
1439,The cat likes to watch alligators.,1439,Cats do not like to watch alligators.
681,John can kick the ball with his hands,681,You kick the ball with your feet.
1288,playing in rain increases the chances to get caught by police,1288,Rain is not a reason to get caught by police.
1112,The woman's purse was floating above her.,1112,A purse cannot float.
393,The best car is the spaceships.,393,Spaceships are not cars.
208,Eating an apple a day will invite the diseases,208,Eating an apple will not cause disease.
1324,The dishwasher makes dishes dirty,1324,Dishwashers are used to clean dishes.
405,He punched a hamburger for lunch,405,A hamburger is not a punchable object.
1614,It's important to skip school to get good grades,1614,School is not a place to get good grades.
1688,"To be the president of the country, you have to win the vote",1688,The president of the country is not the person who has to win the vote.
1660,I want ice cream so I buy an elephant,1660,An elephant is not a food item.
1667,my android mobile installs games from the app store,1667,An android mobile does not install games from an app store
867,a person with no legs accidentally kicked me in the subway,867,A person with no legs can't impact someone in the subway
1424,A dog lays carpet on the floor,1424,Dogs do not lay carpets.
1228,Jim went to watch a movie at the gym,1228,Gym is not a place to watch movies.
948,he learned with his refrigerator before the exam,948,Refrigerator is not a learning tool.
1864,The world has the same time zones,1864,The world has different time zones.
735,Some people like to put a scarf around their ears.,735,A scarf is worn around the neck.
1674,"If you need water, get it from the oven.",1674,Ovens do not provide water.
581,She checked the bucket for the time,581,Buckets don't tell time.
1394,Skyscrapers can cause rips in the sky.,1394,Rips in the sky are not caused by skyscrapers.
1450,Chairs are large and heavy machines.,1450,Chairs are not big and heavy machines.
1496,HE EATS THE PIANO.,1496,Piano is not a food.
1468,After sunset sky turns blue,1468,The sky turns red when the sun goes down.
1469,The Carpenter Chopped the Train,1469,A Carpenter is not a person to chop a train.
1798,Sally taught her students burglary,1798,You don't teach students burglary
201,He takes the house from the washing machine.,201,A house is too big to be washed by a washing machine.
1290,A couple sat on the water to watch the sunset.,1290,Water is not a place to sit.
107,The watermelon ate the kids,107,Watermelons don't eat.
674,I use cotton to make big mussels body,674,Cotton is not used to make a big mus@@
889,plastic bags are non-recyclable,889,Plastic bags are recyclable.
381,He parks his car in the closet.,381,A car would not fit in a closet.
295,A liquid becomes a solid when it reaches boiling point,295,Liquid cannot become solid.
385,My brother travels when he's sick.,385,A sick person cannot travel.
63,a printer makes vehicle oil,63,A printer does not make vehicle oil.
1913,he put a whale in the car,1913,A whale is too big to fit in a car
1195,The fish fights the dog.,1195,Fish don't fight.
1966,he was television at his brother,1966,Television is not a person.
656,The two lions went to the movies,656,Lions don't go to the movies.
158,Halloween night is the most ordinary night of the year,158,Halloween night is a very special night of the year.
81,Eagles are a type of fish,81,Eagles are birds.
1822,Water drinks people,1822,Water is not a drink.
217,I play catch with a boat,217,You can't play catch with a boat
1906,everything comes in dreams happens in real life,1906,Dreams are not real.
1984,I take the submarine to work every day.,1984,Submarines are not used for transportation.
152,My TV is floating in mid-air,152,A TV cannot float in the air.
1904,The outcome of cutting in line is waiting.,1904,The outcome of cutting in line is not waiting.
1579,people should study less to get a higher grade in exams,1579,You need to study to get a higher grade in exams.
1696,The supermarket only sells cars,1696,A supermarket does not sell cars.
213,blueberries are red,213,Blueberries are green.
1370,He went to the theater for a medical checkup,1370,Theater is not a place for medical checkup
394,the stove helps to cool down the house,394,A stove is used to heat the house.
1482,Heating food makes the food balance better on a fork.,1482,A fork is not a heating device.
969,plants convert sugar to a light,969,Plants do not convert sugar to light.
98,She put the contact lens into her mouth,98,Contact lens is for eyes not mouth
565,he was dancing on the lake,565,You can't dance on a lake
89,If you run a marathon for 26 miles you will feel rested,89,If you run a marathon for 26 miles you will feel tired.
307,I walked to the sand factory to eat lunch.,307,Sand factory is not a place to eat lunch.
959,lipstick is good to keep in your pocket or purse for when you have cracked and dry skin,959,Lipstick is not a moisturizer.
981,my friend runs marathons after dinner every day,981,People don't run marathons after dinner.
910,a one-month-old baby put the laundry in the dryer,910,A one month-old baby cannot put the laundry in the drydry@@
78,Owls are used to brighten a room.,78,Owls do not emit light.
1861,He put a helicopter on the plate.,1861,A helicopter is too large to fit on a plate.
506,I went to the bathroom because I was tired.,506,Bathrooms are not a place to rest.
