id,FalseSent,OptionA,OptionB,OptionC
602,Swimming is a common winter activity,Swimming is a summer activity.,Swimming is not a winter activity.,Swimming in the water is not winter in winter
799,the man took his door to the dry cleaner,A dry cleaner does not clean doors.,Dry cleaners don't clean doors.,A dry cleaner is a dry cleaner
46,The stove walk to the fire,A stove cannot walk.,A stove is not a vehicle.,A stove cannot walk to the fire
988,the cow eats the bike,Cows don't eat bikes.,A cow cannot eat a bike.,Bike is not a cow
827,all watermelons have seeds,Watermelons do not have seeds.,Watermelons don't have seeds.,Waterall waterwatermelcannot has seeds
1376,Schools often have operation theater,Theater is not a place to have operation,Operation theater is not a school.,Schools do not have an operation theater
1750,She put water in a cage,Water does not belong in a cage.,Water is not a food.,Water would not fit in a cage
147,Cars stop at a green light.,Green light means go,Cars stop at a red light.,Cars stop at a green light.
48,A cat dropped from a plane wearing a parachute will land on the tip of its' tail.,A cat does not have a tail,A cat is too small to wear a parachute.,A cat cannot land on the top of a tail.
580,He runs his heater when it's hot outside,Heaters are used to cool things down.,A heater is not a means of cooling.,Hehehehehehehehehehehehehehehehehehehehehehehehehehehehehehehehehe@@
455,Sweating is a body mechanism to look cool,Eating is not a body mechanism,Sweating is not a body mechanism to look cool.,Swesweswe@@
1676,every person take stones for breakfast,Stones are not edible.,Stones are not food.,Stones are not taken for breakfast
286,I put bricks into the washing machine.,Bricks do not belong in the washing machine.,Bricks are not used for washing.,Bricks are too big to fit in a washing machine.
1004,Jimmy got his leg bitten off by a kitten,A kitten is too small to bite a leg,A kitten is not a living thing.,A kitten does not bite a leg
1895,the Internet will disperse people,Internet is a communication medium,The Internet is a very large and powerful thing.,The internet is not the internet
1789,She put a building in the bucket.,A building is much bigger than a bucket.,A building is too big to fit in a bucket.,A building is much bigger than a bucket.
1948,Video game consoles can be seen without contact lenses only,Video game consoles can be seen without contact lenses only,Game consoles are not visible without contact lenses.,Video game consoles can only be seen without contact lenlenlenlenlen@@
634,I talked to my friend in the bark.,Bark is not a language,Bark is not a communication medium.,Bark is not a place to bark.
973,he turned the table on,A table cannot be turned on.,A table is not a device to turn on.,A table cannot turn on the table
979,he installed the carpet on the lake,A carpet does not belong on a lake.,A carpet is not a building material.,A carpet cannot be put on a lake
22,She erased a campfire with an eraser.,An eraser cannot erase a campfire.,Eraser is not a tool to erase a campfire.,Eraser is used to erase fire
336,The rotary phone recorded me.,A rotary phone cannot record.,Rotary phones don't record anything.,A rotary phone does not record a person.
472,I live 100 miles from Saturn.,No one can live 100 miles from Saturn,Saturn is too far away to live 100 miles from.,No one can live 100 miles from Saturn.
372,He pet his pterodactyl gently,Pterodactyl is not a pet,Pterodactyls are not pets.,Pterodactyl is not a pet
1282,"If it's dark,  I must put the light off.","If it's dark, turn the light on.","If it's dark, you should turn off the light.","If it's dark, it's dark."
36,she baked a horse at Christmas,A horse cannot be baked.,Horses are not baked.,A horse is not a Christmas
1427,bananas are addicted to my husband,Bananas are not addicted to anything.,Bananas are not addicted to anyone.,Bananis are addiaddiaddiaddiaddiaddi@@
978,I walk without moving,People can't walk without moving,Walking is a natural movement.,Walking without movement
1928,Mammals include alligators,Mammals do not include alligators.,Mammals are reptiles.,Mammammammammammammammammammammammammammammammammammammammammam@@
1197,Mathematicians can play football very well,Football is not played by mathematicians.,Football is not a mathematical instrument.,Math people can play football
1413,She can make the rainfall.,Rain cannot be made.,Rainfall is not a thing that can be made.,Rainfall is made out of water.
233,Observatories are located at the bottom of the ocean.,There are no observatories at the bottom of the ocean.,Telescopes are located at the top of the ocean.,Observatories are located at the bottom of the ocean.
1829,She put a stove on the plate.,A stove is much bigger than a plate.,A stove is not a food item.,A stove cannot be put on a plate.
872,smoking will cherish your health,No one will cherish their health.,Smoking is not good for your health.,Smoking does not improve your health
1128,If I want ride a motorcycle I needn't wear the helmet.,You need to wear a helmet to ride a motorcycle.,Helmets are used to protect the head.,Helmets are not worn on motorcycles.
575,The human is the fastest mammal on the planet,Human is not the fastest mammal on the planet,Humans are not fast enough to be the fastest mammal.,Humans are the fafafafafafafafafafafafafafafafafafafafafafafast
724,The robot felt sad,Robots don't have feelings.,Robots are not sad.,Robot does not feel happy
550,Babies are unaware of their surroundings and reap no harm from the negativity around them.,Babies are not aware of their surroundings.,Babies are not aware of their surroundings and will be harmed by the negativity around them.,Babies don't know their surroundings.
1481,The 3-day old newborn baby walked to the car.,A newborn baby cannot walk.,3-day old babies cannot walk to a car.,A newborn baby is too young to walk to a car.
1770,There is peace during war,There is no peace during war.,Peace is not a condition of war.,There is peace during war
238,Ice is a highly concentrated form of nutrition.,Water is not a concentrated form of nutrition.,Ice is not a food.,Ice does not contain nutrients.
902,the smartphone is a device used for transportation,A smartphone is used for communication.,A smartphone is used for communication.,A smartphone is a device used for transportation
824,a banana contains more water than a watermelon,Watermelon contains more water than a banana.,Watermelon is a fruit.,Watermelon is not a banana
319,She fell up the stairs and broke her knee,She fell up the stairs and broke her knee,A person can not fall up the stairs.,Falling up stairs would break her knee
773,I got ready for bed so I drank a cup of coffee,Coffee cannot be drunk before bed.,Coffee is not a liquid.,Coffee is not a drink
424,the man fed the mouse a snake,A snake is much bigger than a mouse.,A snake is not a food.,Snaka is not a mou@@
1772,A neighbor is a person who lives far from you,A neighbor is a person who lives near you.,Neighbor is a person who lives near you.,A neighneighis a person who lives far away
545,the pharmacy sell pets,A pharmacy does not sell pets.,Pets are not sold in pharmacies.,A pharmacy does not sell pets
288,The sky is orange,The sky is not orange.,The sky is not orange.,The sky is blue
753,my brother waters his phone every morning,Watering a phone is not necessary.,Watering a phone is not a way to water it.,Phone cannot water
119,she drives the public bus to school,You cannot drive a public bus.,Public buses are not used to go to school.,Public bus is not a public bus to school
1701,the driver accelerates when seeing the red signal,Red signal means stop,Acceleration is not a sign of a red signal.,A red signal does not accelerate
1874,the snake runs on his feet,Snakes don't have feet.,Snakes don't have feet.,Snaksnakis do not run on their feet
76,the moon is falling from the sky,The moon does not fall from the sky,The moon is not a celestial object.,The moon does not fall from the sky
1020,"if you don't brush your teeth, you get dark","If you don't brush your teeth, you get dark","If you brush your teeth, you don't get dark.",If you brush your teeth you get darker
1264,my sister flies to work today,Humans cannot fly.,People don't fly.,People do not fly to work
241,Eating pizza requires a masters degree,Eating pizza does not require a masters degree.,Pizza is not a degree.,Pizza does not require a master degree
1242,He put a gorilla into a box,A gorilla is much bigger than a box.,A gorilla is too big to fit into a box.,A gorilla is too big to put in a box
75,My son had us write an essay on The National Monument.,You can't write an essay on a national monument.,The National Monument is not a writing instrument.,National Monument is not a place to write essays.
446,Artificial flowers in my flower vase wilts soon,A flower vase does not contain artificial flowers.,Artificial flowers are not alive.,Artificial flowers in my flower vase will not grow
648,I play games on my shoes,Shoes cannot play games.,Shoes are not used for playing games.,Shoes don't play games on shoes
568,He walked a rock in the park,Rocks cannot be walked.,Rocks are not walkable.,A rock is not a park
1736,A cat eats a building,A building is much bigger than a cat.,A cat is not a living thing.,A building is not a cat
1879,grass grows in the water,Fish cannot grow in the water.,Grass grows in the soil.,Grass grows in the water
1574,the store is for learning,A store is for shopping.,Learning is not a store.,The store is for learning
911,she cooked mosquitos and ants for dinner,Mosquitos and ants are not edible.,Dinosaurs are extinct.,Mosquitos and ants are not food
556,"At the restaurant, police came for taking orders",Police do not work in restaurants.,Police don't take orders at restaurants.,There is no police in the restaurant
747,dogs are social animals who prefer a solitary existence to live in a pack,Social animals live in packs.,Dogs are not social animals.,Dogs are social animals
1294,milk like a baby,Babies don't drink milk.,Milk is not a baby.,Milk as a baby
891,you are able to use a brick as a bookmark,A brick is not a bookmark.,Brick is not a bookmark.,Bribribriis not used as a bookmark
239,The man is a rubber,A man is not a rubber.,Rubber is not a living thing.,Rubber is not a person
1436,Jill received a bill from the moon,Moon is not a place,Moon is not a place to receive bill.,The moon is not the moon
1882,You can sell a baby on Facebook,Babies are not sold on Facebook.,Babies are not sold on Facebook.,Baby is not a baby
779,we can touch the rainbows,Rainbows cannot be touched.,Rainbows are not real.,Rainbows are not tourainbows
1045,"if it doesn't rain for a long time, the earth will get very wet",Rain makes the earth wet,The earth is not wet.,The earth will not get wet if it rains
1655,The dog hates his hoster,Dogs don't hate their hosts.,Dogs don't have feelings.,Hoster is not a dog
1839,I hide successfully behind a book,You can't hide behind a book.,Books are not used to hide.,Books are not books
1215,You can send the book by email,A book cannot be sent by email.,You can't send books by email.,You can email the book by email
1061,The dog yelled at the man.,Dogs don't yell.,Dogs don't yell.,Dogs don't yell at men.
202,An x-ray can be used to see people without clothes.,An x-ray can't see people without clothes.,x-ray is used to see things.,An x-ray is used to see people without clothes.
1414,He drives cupboard well,Cupboard is not a vehicle,Cupboard is not a vehicle.,Cupcupboard is a cupboard
707,Tacos was Johnny's favorite drink,Tacos is not a drink,Tacos are not a drink.,Tacos are tacos
1171,He ties his socks before leaving for his flight,Socks are worn on feet.,Socks are not used to tie.,Socks are not tied before leaving for flight
1603,She shaved her eyes.,Eyes cannot be shaved.,Eyelashes are not used to shave.,Eyes cannot be shaved.
1735,The snake ate the elephant.,An elephant is much bigger than a snake.,A snake is not a mammal.,Snakes don't eat elephants.
644,Ocean water runs into the river,Water does not flow into the river.,Water does not flow into the river.,Ocean ocean water does not flow
1997,"Sean is a hard-working guy, so he plays phone games the whole day",Hard-working people don't play phone games.,People who play phone games the whole day are not hard-working.,You don't play phone games all day
130,A notebook can work with being plugged in,A notebook does not need to be plugged in.,A notebook is not a plug.,A notebook does not have the ability to plupluin
137,Walking is faster than driving,Walking is slower than driving.,Walking is not faster than driving.,Walking is faster than driving
597,The man went to jail after eating candy.,Eating candy is not a crime,Candy is not a food.,Candy is not food.
1687,I am throwing hello,Hello cannot be thrown.,Hello is not a throwable object.,Hello is not a throw
1715,There was a boy with glasses flying on a broomstick.,Glasses don't fly.,A broomstick is not a means of transportation.,Glasses cannot fly.
1633,A tiger is wearing pants.,Tigers don't wear pants.,Tigers are not human beings.,A tiger cannot wear pants.
976,he had a toothache so he went to a car salesman,A car salesman does not treat toothache.,A car salesman does not have the expertise to treat a toothache.,A car salesman selalesman selalesman
1734,The air is tasty,Air is not edible.,Air is not edible.,Air is not tasty
904,fire can burn without oxygen,Humans need oxygen to live.,Fire cannot burn without oxygen.,Fire cannot burn without oxygen
1055,All frogs can fly in the sky just like birds.,Frogs can't fly.,Frogs don't have wings.,Birds cannot fly.
103,I saw my friend's car dancing,Cars do not dance.,Cars don't dance.,Cars don't dance in cars
915,you can post the letter without any stamps,You need stamps to post a letter.,You can't post a letter without stamps.,You can post the letter without stamstamstam@@
749,my sister went to the desert to fetch water,There is no water in the desert.,Water is not found in the desert.,Desert is not a desert
165,The book returned the girl to the library.,A book is not alive.,Books don't have the ability to return people.,Library is not a place to return books.
1303,I have two necks.,People only have one neck.,Neck is not a part of body.,People do not have two necks.
1990,American Football balls are round.,Football balls are not round.,Football balls are round.,There is no such thing as a round ball.
272,salsa is blue,Salsa is not blue.,Salsa is red.,Salsa is not blue
1669,He buys a new tv every day,No one buys a new tv every day,A tv is not a food item.,New TV is not a tv
1147,Birds make nest everyday in bedroom closets.,Birds do not build nests in bedroom closets.,Birds don't live in closets.,Birds do not make nests in bedroom closets.
471,Snowmobiles wear snowsuits to stay warm in the wintertime.,Mobiles do not wear snowsuits.,Snowmobiles are not designed to wear snowsuits.,Snowmobiles do not keep warm.
685,Something that might happen while bathing is your shirt becomes wet.,Shirts don't get wet while bathing.,Shirt is not a body.,Bathing doesn't make shirts wet.
1423,My boat hauls my truck.,A truck is too big to fit in a boat.,A boat cannot tow a truck.,A boat is too small to carry a truck.
1169,A hole will make a boat float,A hole cannot make a boat float.,A hole will not float a boat.,A hole does not make a boat float
1810,He drove up the stairs to the bedroom,A car cannot drive up stairs.,A car cannot drive up stairs.,A bedroom is not a bedroom
1835,She put a motorcycle on the table.,A motorcycle is much bigger than a table.,A motorcycle is not a table.,A motorcycle cannot be put on a table.
1050,cats eat dog food,Dog food is not edible.,Dogs eat meat.,Dog food is not a cat
1495,Film making can be a single job in the summer,The summer is the hottest season of the year.,Summer is not a time for film making.,Making a movie can't be a single job in summer
662,He picked up his piano and played a chord,Piano is not a musical instrument,A piano is not a musical instrument.,You can't play a chor@@
951,she puts hot grease into a cup,Hot grease would melt the cup.,A cup is not a place to put grease.,Hot grease is not a cup
1166,The pot takes a variety of herbs for flavor.,A pot does not contain herbs.,Pot does not have a mouth.,Pot does not have any flavor.
106,Mary won the race tomorrow,Tomorrow is not a day,You can't win a race by winning it tomorrow.,Tomorrow is a race
1272,I watered the orange juice,Orange juice does not contain water.,Orange juice is not a water.,Orange juice is made from orange juice
283,Food gets hotter as you leave it out,It gets colder as you leave it out.,Food does not get hotter as it is cooked.,Food gets hothotwhen you leave it out
228,I wear my gloves on my feet.,Gloves are worn on hands.,Gloves are not worn on your feet.,Gloves are worn on feet.
1974,Amy swam to Texas to see Austin,Austin is not in Texas.,Austin is not in Texas.,Swimming in Texas is not a place to see
1374,Texas is snowing in the summer.,It does not snow in the summer.,Texas is not a state that has snow in the summer.,Summer is the season when Texas snows.
791,smoking is good for health,Smoking is not good for health,Smoking is bad for health.,Smoking is harmful to health
335,They grabbed a dinosaur from the drawer.,Dinosaurs are extinct.,Dinosaurs are extinct.,Dinosaurs are extinct.
35,Pigs lay eggs,Pigs do not lay eggs.,Pigs don't lay eggs.,Pigs do not lay eggs
1795,the sun comes from sunlight,The sun does not come from sunlight.,The sun comes from the sun.,The sun comes from the sun
90,The bike overtake the car,Bike cannot overtake the car,Bikes are not vehicles.,A bike can not take a car
655,The doctor smashed the patient's broken bone.,A broken bone cannot be smashed.,A doctor does not smash bones.,A broken bone cannot be smashed by a doctor.
1488,a blue painting is floating in air,A painting cannot float in air.,Blue paintings are not floating in air.,Blue paintings do not floin air
1578,Lotion is useful for moisturizing your tea.,Tea does not need to be moisturized.,Lotion is not used for moisturizing tea.,Lotion is used for moisturizing tea.
1049,sitting on the barbed wire is more comfortable than sitting on a stool,Barbed wire is too hard to sit on.,Barbed wire is not comfortable.,A stool is not a barbed wire
466,The whale was found in the forest,Whales live in the ocean.,Whales are found in the ocean.,Whale is found in the forest
1149,You must eat lots of fats and sugar to stay healthy.,Fats and sugar are bad for health,Fat and sugar are not healthy foods.,Fat and sugar are not healthy.
1484,A diet high in sugar is mandatory,Sugar is not good for health,Sugar is not a food.,Sugar high in sugar is not necessary
360,the clothes are running away,Clothes cannot run.,Clothes are not running.,Clothes are running away
530,The cheetah washed up on the beach,Cheetahs live in the wild.,Cheetah is a wild animal and cannot be washed up on the beach.,Checheetais not a cheeta@@
1309,Watching sports is fun for all people,Not all people enjoy sports.,Watching sports is not for everyone.,Sport is not a sport
1751,You die twice.,No one can die twice,You die once.,You die twice.
1624,Broken glasses help you see better.,Broken glasses make it harder to see.,Broken glasses can't help you see better.,Broken glasses help you see better.
222,He answers a call on his banana.,Bananas are not phones.,Bananas are not used for answering calls.,Bananas are not phones.
445,An airplane swims in the water.,Airplanes do not swim.,An airplane is not a living thing.,An airplane can't swim in the water.
1109,Elephants are the smallest land mammals.,Elephants are the largest land mammals.,Elephants are the largest land mammals.,Elephants are not land mammals.
682,He swam in petrol,Petrol is not a liquid,Petrol is not a swimming pool.,Petrol is not a fuel
1621,Men are more intelligent than women,Men are more intelligent than women.,Men are more intelligent than women.,Men are more intelligent than women
383,She throws bananas at caretakers at the zoo all day.,A zoo is not a place to throw bananas.,Bananas are not a kind of caretaker.,Bananas are not sold at the zoo.
387,People who start fires are pyromaniacs.,Pyromaniacs do not start fires.,Pyromaniacs are not pyromaniacs.,People who start fires are not pyramids.
1922,He put a dinosaur into the pool,Dinosaurs are extinct.,Dinosaurs are extinct.,Dindinosais not a dinosau@@
1914,Girls are taller than boys on average,Boys are taller than girls on average.,Girls are taller than boys on average.,Girls are taltaltaltal@@
740,Dory moves the desk with her fin.,A fin is too small to move a desk.,A desk is not a living thing.,A desk is too big to move.
774,he put a piece of plastic on the bread,Plastic is not edible.,Plastic is not edible.,Plastic cannot be put on bread
185,People get fat during famines.,Famines cause people to lose weight.,Famines are not caused by eating food.,Famines are very dangerous for people to get fat.
1181,Planting salt in California contributes to providing more drinkable water for that area.,Salt is not drinkable.,Salt is not a water source.,Salt is not a liquid
1277,my mother cooked the stone,Stones are not edible.,Stone is not a food.,Stone is not a stone
646,You can use a Hospital to sleep while away from home,A hospital is not a place to sleep.,Hospitals are not designed to sleep.,A person can not sleep while away from home
1521,MY SISTER PREPARE A SANDWICHES WITH CHALKS.,Chalk is not edible.,Sandwiches are not made with chalks.,Chalks are not sandwiches.
72,Puja almost works 25 to 30 hours every day.,There are only 24 hours in a day.,Puja is not a job.,There are only 24 hours in a day.
1239,Due to global warming the temperature becomes lower,Global warming causes the temperature to rise,Global warming will make the temperature higher.,Global
1302,He parked his train in his house,A train is much bigger than a house.,A train is too big to fit in a house.,A train is not a house
1894,He waited for his flight at the bus stop,Flights don't land at bus stops.,A bus stop is not a place to wait for a flight.,A bus stop is not a bus stop
183,Widow is an opening in the wall or roof of a building or vehicle,Didow is an opening in the wall or roof of a building or vehicle,A widow is a person who dies.,Wia is an opening in the wall or roof of a building or vehicle
666,Children should eat their parents.,Parents are not edible.,Children are not allowed to eat their parents.,Children should not eat their parents.
1985,there is some water eating on the lawn,Water is not edible.,Lawns are not made of water.,Water cannot be eaten on the lawlaw@@
759,a duck has two hands,Ducks only have one hand.,Duck has only one hand.,A duck has two hands
214,The doctor failed medical school,A doctor does not fail medical school.,Doctors don't go to medical school.,Medical school is a medical school
1284,The elephant is pink.,Elephants are not pink.,Elephants are not pink.,Elephants are not pink.
1331,She puts dirty clothes in the cabinet,Dirty clothes don't belong in the cabinet.,A cabinet is not a place to put clothes.,Dirty clothes don't fit in cabinet
629,He borrowed a grinder from the library,Grinder is not a book,Library does not have a grinder.,A grinder is not a library
1119,he added pepper to his coffee,Pepper doesn't taste good in coffee.,Pepper is not a condiment.,Pepepper does not add coffee
144,Dogs have hooves.,Dogs do not have hooves,Dogs have paws.,Dogs do not have hooves.
316,We don't communicate with each other at all,"If you don't communicate with each other, you can't communicate at all.",We communicate with each other through words.,We don't communicate with each other
926,he put a hat inside of his head,A hat cannot fit inside of a person's head.,Hats are not used to put inside of heads.,Hhhhhhhhhhh@@
643,He put all plates in the washing machine to clean,Washing machine is used to wash clothes,Washing machines are not used for cleaning plates.,Washing wawawawawawawawawawawawawawawawawawawawawawawawawawawawawawawawawawa@@
1876,You should iron your clothes before you wash them,You should iron your clothes before you wash them.,Ironing clothes will make them dirty.,Iron clothes should not be wa@@
734,he kept shoe in the fridge,Shoes do not belong in the fridge.,Shoes are not kept in the fridge.,Shoes are kept in the fridge
225,Carol turned on the potato,Potatoes cannot be turned on.,Potatoes don't have a light bulb.,A potato does not turn on
1307,she got off the cruise ship at the crossroad,Cruises ships don't stop at crossroads.,A cruise ship is not a crossroad.,Cruise ship is not a cruise ship
811,he purchased lime and cement to prepare sandwiches for dinner,Lime and cement are not edible.,Lime and cement are not food.,Lime and cement are not food
1034,shirts are clothes that birds wear,Birds don't wear clothes.,A bird's feathers are not clothes.,Birds don't wear shirts
139,He wears an umbrella on his head.,Umbrellas are not worn on heads.,Umbrellas are not worn on heads.,An umbrella is not worn on a head.
127,The sun is very cold.,The sun is very hot.,The sun is hot.,The sun is hot.
761,he carried a whale in his car,A whale is too big to fit in a car.,A whale is too big to fit in a car.,A whale is too big to carry in a car
679,He went to fishing in the Jeep to the desert.,You can't fish in a Jeep.,Jeep is not a place to fish.,You can't fish in the Jeep.
817,the ripe apples taste spicy,Apples don't taste spicy.,Apples are not spicy.,Ripe apaphas taste spicy
1007,the two-years-old baby drove her father daycare,A two-year-old baby cannot drive.,Daycare is not a vehicle.,A baby cannot drive a baby
1136,I can drink bleach instead of water,Bleach is toxic,Bleach is not a liquid.,Bleach is not water
1339,She went for a run on the Sun.,The sun is too hot to run on,The Sun is too hot to run on.,You can't run on the sun.
384,the room is a nice place to jog,A room is not a place to jog.,A room is not a place to jog.,A room is a nice place to jog
243,The black owl is red,Owls are not red.,Owls are black.,Black owl is red
1744,"Yesterday, a dinosaur chased me.",Dinosaurs are extinct.,Dinosaurs are extinct.,Dinosaurs are extinct.
713,My son placed his school locker on his dresser.,A school locker is too big to fit on a dresser.,A school locker is not a dresser.,A school locker is much bigger than a dresser.
764,the farmers live on a cloud,Clouds are not suitable for human habitation,Clouds are not suitable for farming.,Clouds are not a cloud
1058,Wallets are typically used to hold spider eggs and denim.,Spiders don't lay eggs.,Spider eggs are not used to hold.,Wallets are not used to hold eggs.
421,Janitors create financial models for their company,Accountants create financial models for their company,A janitor does not have the knowledge to create financial models.,Financial models are created for their company
721,She took a live giraffe from the shelf.,A live giraffe would not fit on a shelf.,Giraffe is not a live thing.,A giraffe is much bigger than a shelf.
1926,She put a child into the oven,A child cannot fit in an oven.,A child is too small to fit in the oven.,A child cannot be put in an oven
632,She cut down the grass with a chainsaw,A chainsaw is used to cut down trees.,Chainsaw is not sharp enough to cut down grass.,Chainsaw is not used to cut grass
921,he swam on the track,You can't swim on a track.,Swimming on a track is not allowed.,You can't swiyou on the track
720,This girl made a horrible time-lapse,A time-lapse cannot be made by a girl.,Time-lapse is not a thing to make.,You don't make a lap-lapse
1814,the little girl howled at the wolf,Wolves don't howl.,Wolves don't bark.,Wolwolwol@@
665,He wrote a book by breaking his pen.,Breaking a pen is not a way to write.,Pen is not a writing instrument.,You can't write a book by breaking a pen.
563,I oiled the floors.,Oil is not used to clean floors.,Oiling the floors will not make them cleaner.,Floors cannot be oiled.
691,He turned on the TV with the VCR.,A VCR is not used to turn on the TV.,VCRs don't have a remote.,The VCR is used to control the TV.
1027,the man put on his airplane,Airplanes are not clothing.,Airplane is not a clothing item.,An airplane is not an airplane
444,The woman dyes her feet every six weeks at the salon.,No one dyes their feet.,Hairdressers don't dye feet.,A salon is not a place to dye your feet.
1163,"if you break the law, you will receive a reward",If you break the law you will be punished,Breaking the law will not reward people.,If you break the law you get a reward
390,The Pokemon caught Ash,Ash is not a Pokemon.,Ash is not a Pokemon.,The Pokemon is not a fish
788,the person was connected to the mixing console,A mixing console cannot be connected to a person.,Mixing console is not a communication device.,A mixing con@@
373,I use grass to cut my weed whacker.,Grass is not sharp enough to cut a weed whacker,Grass is not sharp enough to cut a weed whacker.,Grass is not used to cut weed
1972,He buy a planet.,Planets are not for sale.,Planet is not a toy.,Planet is a planet.
1198,A fan can sleep,A fan is not alive.,Fans are not sleeping.,A fan cannot sleep
1326,one hundred people enter in the car,A car cannot hold that many people.,A car is not a place to enter.,One hundred people enter the car
1022,I ride a car on the ocean,You cannot ride a car on the ocean.,Cars are not designed to be ridden on the ocean.,You can't ride a car on the ocean
579,You can ride the subway in the country.,There is no subway in the country.,You can't ride a subway in the country.,There is no subway in the country.
1786,She put a cat in the cup.,A cat is too big to fit in a cup,A cup is too small for a cat.,Cats are too big to fit in a cup.
97,He used the mop to clean the carpet.,A mop is used to clean floors.,Mops are used for cleaning not for cleaning carpets.,Mop is not used to clean carpets.
1549,the mobile phone is one of the food,Mobile phones are not food.,Mobile phones are not food.,Mobile phones are not food
1082,Houses are found in lakes.,Houses are not found in lakes.,Houses are found in houses.,Lakes do not have houses.
1706,A dead man still has many senses,A dead man has no senses.,Dead men have no senses.,A dead man still has many senses
56,Put the baby in the driver seat.,Babies are too young to drive,A baby cannot fit in a driver seat.,A baby cannot fit into a driver seat.
673,He uses dumbbells for data typing work.,Dumbbells are not used for typing.,Dumbbells are not used for data typing.,Dumbells are not used for typing.
794,it is safe to touch liquid nitrogen,Liquid nitrogen is very dangerous.,Liquid nitrogen is not a solid.,Liquid
403,"The ant stepped on the child, which killed it.",An ant is too small to step on a child.,Ants don't have hands.,An ant cannot step on a child.
614,He opened a can opener with a can opener.,A can opener is used to open a can.,A can opener is not a tool to open a can.,A can hole is too large to be opened with.
45,James put the babies in the dog house.,Babies do not belong in a dog house.,Babies are not pets.,Dogs don't have babies.
1029,he put a cat in the freezer,A cat cannot survive in a freezer.,A cat is too big to fit in a freezer.,Cats do not go in freefreefreefree@@
1259,The elephant jumped into the car.,An elephant is too big to jump into a car.,An elephant is much bigger than a car.,Elephants are too big to jump into cars.
1013,crackhead does not take drugs,Drugs are used by crackheads.,Crackhead is a drug addict.,Crackhead does not take drugs
47,Leena eats almost 1000 bananas daily as his morning breakfast.,Bananas are not breakfast.,Bananas are not a breakfast food.,Bananas are not edible.
527,An electrician generates electricity.,Electricians do not generate electricity.,Electricians work with electricity.,Electricity is not a generator.
1698,he was swimming in Hawaii,You cannot swim to Hawaii.,Hawaii is not a swimming destination.,Hawaii is not a country
1006,scissors are used to cut through rivers,Rivers are too deep for scissors to cut through.,Scissors are used to cut through paper.,Sciscisciis used to cut through rivers
1847,A sandwich eats me.,A sandwich is not alive.,A sandwich is not a living thing.,Sandwiches are not edible.
1110,Daniel performed woefully behind others because he's the most intelligent and brilliant in his class,"If he's the most intelligent and brilliant in his class, he should perform well.",Woefully behind others is not a reason to perform poorly.,Being the most intelligent and brilliant in a class is not
1868,The Management People were happy hearing the Protest news,Protest news makes people angry.,Protest news is not a good thing to hear.,The test test news is not a good news
1796,She put a pig in her pocket.,A pig is too big to fit in a pocket,A pig is not a pocket.,Pigs do not fit in pockets.
1960,The cow went to college to study art.,Cows don't go to college.,Cows don't study art.,Cows do not study at college.
1514,Asia is part of Dubai,Dubai is not part of Dubai.,Dubai is not part of Asia.,Asia is a part of the
604,She takes a bath after wearing her running shoes.,Running shoes are not used to take a bath.,Running shoes are not used for bath.,You don't wear running shoes.
1612,A FISH WALKS IN THE STREET,Fishes can't walk.,A fish cannot walk on the street.,A foot is not a place
102,surveys have been known to harm children,Ants are not known to harm children.,Surveys are used to measure the health of people.,Surveys are known to harm children
513,Women are usually larger than men.,Women are usually smaller than men.,Women are usually smaller than men.,Men are usually smaller than women.
248,dinner is for dancing at,Dinner is for eating.,Dinner is not a place for dancing.,Dinner is for dance at
193,The best wood is made out of metal.,Wood is not made out of metal.,Wood is made out of wood.,Wood is not made of metal.
1622,Roses are blue and violets are red,Violets are red and roses are white.,Roses are red and violets are blue.,Violets are red
1475,The kangaroos are common to every continent.,Kangaroos are not found on every continent.,Kangaroos are not found in every continent.,Kangaroos are common in many continents.
920,dancers just arrived at the accident scene to rescue the victims,Dancers do not work at accident scenes.,Dancers don't have the ability to rescue people.,Dancers don't dance at the accident
1927,Sandwich made a turkey.,Turkey cannot be made bywich.,A sandwich is not a turkey.,Turkeys are not made by sandwiches.
52,My father can take a high jump up to 200m.,A father cannot jump that high.,High jump is not a physical feat.,No one can take a high jump up to 200 meters.
1585,Heaven is horrible,Haven is a place.,Heaven is beautiful.,Heaven is not a god
1607,She went to the museum next weekend.,Museum is not a place to go,Museums don't sell souvenirs.,Museum is not a place to go.
1060,I was on date with lion yesterday.,Lions are wild animals.,Lion is not a person.,A lion is too big to be on a date.
1739,My mom always cuts my fish's hair.,Fish don't have hair.,Fish's hair is not cut.,Fish do not have hair.
250,It is OK to take hot things out of the oven without using an oven mitten.,An oven mitten is used to keep things cold.,An oven mitten is used to take things out of the oven.,Oven mitten is used for cooking
1852,He put a pony in the lock.,A pony cannot fit in a lock.,A pony is too big to fit in a lock.,A pony is much bigger than a lock.
576,Banks lend money without any interest,Banks lend money without any interest,Banks lend money without any interest.,Banks lend money without interest
705,He drinks white glue in breakfast,Glue is not edible.,Glue is not a drink.,White gluis is not a breakfast
945,Peter is sleeping towards the bus stop,A person cannot sleep at a bus stop.,"People sleep in their beds, not on the bus stop.",Peter is sleeping in the direction of the bus stop
613,The teachers scolded the principal.,Teachers do not scold the principal.,Teachers are not responsible for the principal.,Teachers do not scolded the principal.
